dataset,instancia,n,R,archivo
densidad-baja,BAJA-1,1,1,instancias/densidad-baja/BAJA-1.txt
densidad-baja,BAJA-2,2,2,instancias/densidad-baja/BAJA-2.txt
densidad-baja,BAJA-3,3,3,instancias/densidad-baja/BAJA-3.txt
densidad-baja,BAJA-4,4,4,instancias/densidad-baja/BAJA-4.txt
densidad-baja,BAJA-5,5,5,instancias/densidad-baja/BAJA-5.txt
densidad-baja,BAJA-6,6,6,instancias/densidad-baja/BAJA-6.txt
densidad-baja,BAJA-7,7,7,instancias/densidad-baja/BAJA-7.txt
densidad-baja,BAJA-8,8,8,instancias/densidad-baja/BAJA-8.txt
densidad-baja,BAJA-9,9,9,instancias/densidad-baja/BAJA-9.txt
densidad-baja,BAJA-10,10,10,instancias/densidad-baja/BAJA-10.txt
densidad-baja,BAJA-11,11,11,instancias/densidad-baja/BAJA-11.txt
densidad-baja,BAJA-12,12,12,instancias/densidad-baja/BAJA-12.txt
densidad-baja,BAJA-13,13,13,instancias/densidad-baja/BAJA-13.txt
densidad-baja,BAJA-14,14,14,instancias/densidad-baja/BAJA-14.txt
densidad-baja,BAJA-15,15,15,instancias/densidad-baja/BAJA-15.txt
densidad-baja,BAJA-16,16,16,instancias/densidad-baja/BAJA-16.txt
densidad-baja,BAJA-17,17,17,instancias/densidad-baja/BAJA-17.txt
densidad-baja,BAJA-18,18,18,instancias/densidad-baja/BAJA-18.txt
densidad-baja,BAJA-19,19,19,instancias/densidad-baja/BAJA-19.txt
densidad-baja,BAJA-20,20,20,instancias/densidad-baja/BAJA-20.txt
densidad-baja,BAJA-21,21,21,instancias/densidad-baja/BAJA-21.txt
densidad-baja,BAJA-22,22,22,instancias/densidad-baja/BAJA-22.txt
densidad-baja,BAJA-23,23,23,instancias/densidad-baja/BAJA-23.txt
densidad-baja,BAJA-24,24,24,instancias/densidad-baja/BAJA-24.txt
densidad-baja,BAJA-25,25,25,instancias/densidad-baja/BAJA-25.txt
densidad-baja,BAJA-26,26,26,instancias/densidad-baja/BAJA-26.txt
densidad-baja,BAJA-27,27,27,instancias/densidad-baja/BAJA-27.txt
densidad-baja,BAJA-28,28,28,instancias/densidad-baja/BAJA-28.txt
densidad-baja,BAJA-29,29,29,instancias/densidad-baja/BAJA-29.txt
densidad-baja,BAJA-30,30,30,instancias/densidad-baja/BAJA-30.txt
densidad-baja,BAJA-31,31,31,instancias/densidad-baja/BAJA-31.txt
densidad-baja,BAJA-32,32,32,instancias/densidad-baja/BAJA-32.txt
densidad-baja,BAJA-33,33,33,instancias/densidad-baja/BAJA-33.txt
densidad-baja,BAJA-34,34,34,instancias/densidad-baja/BAJA-34.txt
densidad-baja,BAJA-35,35,35,instancias/densidad-baja/BAJA-35.txt
densidad-baja,BAJA-36,36,36,instancias/densidad-baja/BAJA-36.txt
densidad-baja,BAJA-37,37,37,instancias/densidad-baja/BAJA-37.txt
densidad-baja,BAJA-38,38,38,instancias/densidad-baja/BAJA-38.txt
densidad-baja,BAJA-39,39,39,instancias/densidad-baja/BAJA-39.txt
densidad-baja,BAJA-40,40,40,instancias/densidad-baja/BAJA-40.txt
densidad-baja,BAJA-41,41,41,instancias/densidad-baja/BAJA-41.txt
densidad-baja,BAJA-42,42,42,instancias/densidad-baja/BAJA-42.txt
densidad-baja,BAJA-43,43,43,instancias/densidad-baja/BAJA-43.txt
densidad-baja,BAJA-44,44,44,instancias/densidad-baja/BAJA-44.txt
densidad-baja,BAJA-45,45,45,instancias/densidad-baja/BAJA-45.txt
densidad-baja,BAJA-46,46,46,instancias/densidad-baja/BAJA-46.txt
densidad-baja,BAJA-47,47,47,instancias/densidad-baja/BAJA-47.txt
densidad-baja,BAJA-48,48,48,instancias/densidad-baja/BAJA-48.txt
densidad-baja,BAJA-49,49,49,instancias/densidad-baja/BAJA-49.txt
densidad-baja,BAJA-50,50,50,instancias/densidad-baja/BAJA-50.txt
densidad-baja,BAJA-51,51,51,instancias/densidad-baja/BAJA-51.txt
densidad-baja,BAJA-52,52,52,instancias/densidad-baja/BAJA-52.txt
densidad-baja,BAJA-53,53,53,instancias/densidad-baja/BAJA-53.txt
densidad-baja,BAJA-54,54,54,instancias/densidad-baja/BAJA-54.txt
densidad-baja,BAJA-55,55,55,instancias/densidad-baja/BAJA-55.txt
densidad-baja,BAJA-56,56,56,instancias/densidad-baja/BAJA-56.txt
densidad-baja,BAJA-57,57,57,instancias/densidad-baja/BAJA-57.txt
densidad-baja,BAJA-58,58,58,instancias/densidad-baja/BAJA-58.txt
densidad-baja,BAJA-59,59,59,instancias/densidad-baja/BAJA-59.txt
densidad-baja,BAJA-60,60,60,instancias/densidad-baja/BAJA-60.txt
densidad-baja,BAJA-61,61,61,instancias/densidad-baja/BAJA-61.txt
densidad-baja,BAJA-62,62,62,instancias/densidad-baja/BAJA-62.txt
densidad-baja,BAJA-63,63,63,instancias/densidad-baja/BAJA-63.txt
densidad-baja,BAJA-64,64,64,instancias/densidad-baja/BAJA-64.txt
densidad-baja,BAJA-65,65,65,instancias/densidad-baja/BAJA-65.txt
densidad-baja,BAJA-66,66,66,instancias/densidad-baja/BAJA-66.txt
densidad-baja,BAJA-67,67,67,instancias/densidad-baja/BAJA-67.txt
densidad-baja,BAJA-68,68,68,instancias/densidad-baja/BAJA-68.txt
densidad-baja,BAJA-69,69,69,instancias/densidad-baja/BAJA-69.txt
densidad-baja,BAJA-70,70,70,instancias/densidad-baja/BAJA-70.txt
densidad-baja,BAJA-71,71,71,instancias/densidad-baja/BAJA-71.txt
densidad-baja,BAJA-72,72,72,instancias/densidad-baja/BAJA-72.txt
densidad-baja,BAJA-73,73,73,instancias/densidad-baja/BAJA-73.txt
densidad-baja,BAJA-74,74,74,instancias/densidad-baja/BAJA-74.txt
densidad-baja,BAJA-75,75,75,instancias/densidad-baja/BAJA-75.txt
densidad-baja,BAJA-76,76,76,instancias/densidad-baja/BAJA-76.txt
densidad-baja,BAJA-77,77,77,instancias/densidad-baja/BAJA-77.txt
densidad-baja,BAJA-78,78,78,instancias/densidad-baja/BAJA-78.txt
densidad-baja,BAJA-79,79,79,instancias/densidad-baja/BAJA-79.txt
densidad-baja,BAJA-80,80,80,instancias/densidad-baja/BAJA-80.txt
densidad-baja,BAJA-81,81,81,instancias/densidad-baja/BAJA-81.txt
densidad-baja,BAJA-82,82,82,instancias/densidad-baja/BAJA-82.txt
densidad-baja,BAJA-83,83,83,instancias/densidad-baja/BAJA-83.txt
densidad-baja,BAJA-84,84,84,instancias/densidad-baja/BAJA-84.txt
densidad-baja,BAJA-85,85,85,instancias/densidad-baja/BAJA-85.txt
densidad-baja,BAJA-86,86,86,instancias/densidad-baja/BAJA-86.txt
densidad-baja,BAJA-87,87,87,instancias/densidad-baja/BAJA-87.txt
densidad-baja,BAJA-88,88,88,instancias/densidad-baja/BAJA-88.txt
densidad-baja,BAJA-89,89,89,instancias/densidad-baja/BAJA-89.txt
densidad-baja,BAJA-90,90,90,instancias/densidad-baja/BAJA-90.txt
densidad-baja,BAJA-91,91,91,instancias/densidad-baja/BAJA-91.txt
densidad-baja,BAJA-92,92,92,instancias/densidad-baja/BAJA-92.txt
densidad-baja,BAJA-93,93,93,instancias/densidad-baja/BAJA-93.txt
densidad-baja,BAJA-94,94,94,instancias/densidad-baja/BAJA-94.txt
densidad-baja,BAJA-95,95,95,instancias/densidad-baja/BAJA-95.txt
densidad-baja,BAJA-96,96,96,instancias/densidad-baja/BAJA-96.txt
densidad-baja,BAJA-97,97,97,instancias/densidad-baja/BAJA-97.txt
densidad-baja,BAJA-98,98,98,instancias/densidad-baja/BAJA-98.txt
densidad-baja,BAJA-99,99,99,instancias/densidad-baja/BAJA-99.txt
densidad-baja,BAJA-100,100,100,instancias/densidad-baja/BAJA-100.txt
