dataset,instancia,n,R,archivo
dinamica,DP-100-1000,100,1000,instancias/dinamica/DP-100-1000.txt
dinamica,DP-100-1500,100,1500,instancias/dinamica/DP-100-1500.txt
dinamica,DP-100-2000,100,2000,instancias/dinamica/DP-100-2000.txt
dinamica,DP-100-2500,100,2500,instancias/dinamica/DP-100-2500.txt
dinamica,DP-100-3000,100,3000,instancias/dinamica/DP-100-3000.txt
dinamica,DP-100-3500,100,3500,instancias/dinamica/DP-100-3500.txt
dinamica,DP-100-4000,100,4000,instancias/dinamica/DP-100-4000.txt
dinamica,DP-100-4500,100,4500,instancias/dinamica/DP-100-4500.txt
dinamica,DP-100-5000,100,5000,instancias/dinamica/DP-100-5000.txt
dinamica,DP-100-5500,100,5500,instancias/dinamica/DP-100-5500.txt
dinamica,DP-100-6000,100,6000,instancias/dinamica/DP-100-6000.txt
dinamica,DP-100-6500,100,6500,instancias/dinamica/DP-100-6500.txt
dinamica,DP-100-7000,100,7000,instancias/dinamica/DP-100-7000.txt
dinamica,DP-100-7500,100,7500,instancias/dinamica/DP-100-7500.txt
dinamica,DP-600-1000,600,1000,instancias/dinamica/DP-600-1000.txt
dinamica,DP-600-1500,600,1500,instancias/dinamica/DP-600-1500.txt
dinamica,DP-600-2000,600,2000,instancias/dinamica/DP-600-2000.txt
dinamica,DP-600-2500,600,2500,instancias/dinamica/DP-600-2500.txt
dinamica,DP-600-3000,600,3000,instancias/dinamica/DP-600-3000.txt
dinamica,DP-600-3500,600,3500,instancias/dinamica/DP-600-3500.txt
dinamica,DP-600-4000,600,4000,instancias/dinamica/DP-600-4000.txt
dinamica,DP-600-4500,600,4500,instancias/dinamica/DP-600-4500.txt
dinamica,DP-600-5000,600,5000,instancias/dinamica/DP-600-5000.txt
dinamica,DP-600-5500,600,5500,instancias/dinamica/DP-600-5500.txt
dinamica,DP-600-6000,600,6000,instancias/dinamica/DP-600-6000.txt
dinamica,DP-600-6500,600,6500,instancias/dinamica/DP-600-6500.txt
