dataset,instancia,n,R,archivo
DP,DP-2-500,2,500,instancias/dinamica_VS_bt/DP-2-500.txt
DP,DP-2-1000,2,1000,instancias/dinamica_VS_bt/DP-2-1000.txt
DP,DP-3-500,3,500,instancias/dinamica_VS_bt/DP-3-500.txt
DP,DP-3-1000,3,1000,instancias/dinamica_VS_bt/DP-3-1000.txt
DP,DP-4-500,4,500,instancias/dinamica_VS_bt/DP-4-500.txt
DP,DP-4-1000,4,1000,instancias/dinamica_VS_bt/DP-4-1000.txt
DP,DP-5-500,5,500,instancias/dinamica_VS_bt/DP-5-500.txt
DP,DP-5-1000,5,1000,instancias/dinamica_VS_bt/DP-5-1000.txt
DP,DP-6-500,6,500,instancias/dinamica_VS_bt/DP-6-500.txt
DP,DP-6-1000,6,1000,instancias/dinamica_VS_bt/DP-6-1000.txt
DP,DP-7-500,7,500,instancias/dinamica_VS_bt/DP-7-500.txt
DP,DP-7-1000,7,1000,instancias/dinamica_VS_bt/DP-7-1000.txt
DP,DP-8-500,8,500,instancias/dinamica_VS_bt/DP-8-500.txt
DP,DP-8-1000,8,1000,instancias/dinamica_VS_bt/DP-8-1000.txt
DP,DP-9-500,9,500,instancias/dinamica_VS_bt/DP-9-500.txt
DP,DP-9-1000,9,1000,instancias/dinamica_VS_bt/DP-9-1000.txt
DP,DP-10-500,10,500,instancias/dinamica_VS_bt/DP-10-500.txt
DP,DP-10-1000,10,1000,instancias/dinamica_VS_bt/DP-10-1000.txt
DP,DP-11-500,11,500,instancias/dinamica_VS_bt/DP-11-500.txt
DP,DP-11-1000,11,1000,instancias/dinamica_VS_bt/DP-11-1000.txt
DP,DP-12-500,12,500,instancias/dinamica_VS_bt/DP-12-500.txt
DP,DP-12-1000,12,1000,instancias/dinamica_VS_bt/DP-12-1000.txt
DP,DP-13-500,13,500,instancias/dinamica_VS_bt/DP-13-500.txt
DP,DP-13-1000,13,1000,instancias/dinamica_VS_bt/DP-13-1000.txt
DP,DP-14-500,14,500,instancias/dinamica_VS_bt/DP-14-500.txt
DP,DP-14-1000,14,1000,instancias/dinamica_VS_bt/DP-14-1000.txt
DP,DP-15-500,15,500,instancias/dinamica_VS_bt/DP-15-500.txt
DP,DP-15-1000,15,1000,instancias/dinamica_VS_bt/DP-15-1000.txt
DP,DP-16-500,16,500,instancias/dinamica_VS_bt/DP-16-500.txt
DP,DP-16-1000,16,1000,instancias/dinamica_VS_bt/DP-16-1000.txt
DP,DP-17-500,17,500,instancias/dinamica_VS_bt/DP-17-500.txt
DP,DP-17-1000,17,1000,instancias/dinamica_VS_bt/DP-17-1000.txt
DP,DP-18-500,18,500,instancias/dinamica_VS_bt/DP-18-500.txt
DP,DP-18-1000,18,1000,instancias/dinamica_VS_bt/DP-18-1000.txt
DP,DP-19-500,19,500,instancias/dinamica_VS_bt/DP-19-500.txt
DP,DP-19-1000,19,1000,instancias/dinamica_VS_bt/DP-19-1000.txt
DP,DP-20-500,20,500,instancias/dinamica_VS_bt/DP-20-500.txt
DP,DP-20-1000,20,1000,instancias/dinamica_VS_bt/DP-20-1000.txt
DP,DP-21-500,21,500,instancias/dinamica_VS_bt/DP-21-500.txt
DP,DP-21-1000,21,1000,instancias/dinamica_VS_bt/DP-21-1000.txt
DP,DP-22-500,22,500,instancias/dinamica_VS_bt/DP-22-500.txt
DP,DP-22-1000,22,1000,instancias/dinamica_VS_bt/DP-22-1000.txt
DP,DP-23-500,23,500,instancias/dinamica_VS_bt/DP-23-500.txt
DP,DP-23-1000,23,1000,instancias/dinamica_VS_bt/DP-23-1000.txt
DP,DP-24-500,24,500,instancias/dinamica_VS_bt/DP-24-500.txt
DP,DP-24-1000,24,1000,instancias/dinamica_VS_bt/DP-24-1000.txt
DP,DP-25-500,25,500,instancias/dinamica_VS_bt/DP-25-500.txt
DP,DP-25-1000,25,1000,instancias/dinamica_VS_bt/DP-25-1000.txt
DP,DP-26-500,26,500,instancias/dinamica_VS_bt/DP-26-500.txt
DP,DP-26-1000,26,1000,instancias/dinamica_VS_bt/DP-26-1000.txt
DP,DP-27-500,27,500,instancias/dinamica_VS_bt/DP-27-500.txt
DP,DP-27-1000,27,1000,instancias/dinamica_VS_bt/DP-27-1000.txt
DP,DP-28-500,28,500,instancias/dinamica_VS_bt/DP-28-500.txt
DP,DP-28-1000,28,1000,instancias/dinamica_VS_bt/DP-28-1000.txt
DP,DP-29-500,29,500,instancias/dinamica_VS_bt/DP-29-500.txt
DP,DP-29-1000,29,1000,instancias/dinamica_VS_bt/DP-29-1000.txt
BT,BT-2-500,2,500,instancias/dinamica_VS_bt/BT-2-500.txt
BT,BT-2-1000,2,1000,instancias/dinamica_VS_bt/BT-2-1000.txt
BT,BT-3-500,3,500,instancias/dinamica_VS_bt/BT-3-500.txt
BT,BT-3-1000,3,1000,instancias/dinamica_VS_bt/BT-3-1000.txt
BT,BT-4-500,4,500,instancias/dinamica_VS_bt/BT-4-500.txt
BT,BT-4-1000,4,1000,instancias/dinamica_VS_bt/BT-4-1000.txt
BT,BT-5-500,5,500,instancias/dinamica_VS_bt/BT-5-500.txt
BT,BT-5-1000,5,1000,instancias/dinamica_VS_bt/BT-5-1000.txt
BT,BT-6-500,6,500,instancias/dinamica_VS_bt/BT-6-500.txt
BT,BT-6-1000,6,1000,instancias/dinamica_VS_bt/BT-6-1000.txt
BT,BT-7-500,7,500,instancias/dinamica_VS_bt/BT-7-500.txt
BT,BT-7-1000,7,1000,instancias/dinamica_VS_bt/BT-7-1000.txt
BT,BT-8-500,8,500,instancias/dinamica_VS_bt/BT-8-500.txt
BT,BT-8-1000,8,1000,instancias/dinamica_VS_bt/BT-8-1000.txt
BT,BT-9-500,9,500,instancias/dinamica_VS_bt/BT-9-500.txt
BT,BT-9-1000,9,1000,instancias/dinamica_VS_bt/BT-9-1000.txt
BT,BT-10-500,10,500,instancias/dinamica_VS_bt/BT-10-500.txt
BT,BT-10-1000,10,1000,instancias/dinamica_VS_bt/BT-10-1000.txt
BT,BT-11-500,11,500,instancias/dinamica_VS_bt/BT-11-500.txt
BT,BT-11-1000,11,1000,instancias/dinamica_VS_bt/BT-11-1000.txt
BT,BT-12-500,12,500,instancias/dinamica_VS_bt/BT-12-500.txt
BT,BT-12-1000,12,1000,instancias/dinamica_VS_bt/BT-12-1000.txt
BT,BT-13-500,13,500,instancias/dinamica_VS_bt/BT-13-500.txt
BT,BT-13-1000,13,1000,instancias/dinamica_VS_bt/BT-13-1000.txt
BT,BT-14-500,14,500,instancias/dinamica_VS_bt/BT-14-500.txt
BT,BT-14-1000,14,1000,instancias/dinamica_VS_bt/BT-14-1000.txt
BT,BT-15-500,15,500,instancias/dinamica_VS_bt/BT-15-500.txt
BT,BT-15-1000,15,1000,instancias/dinamica_VS_bt/BT-15-1000.txt
BT,BT-16-500,16,500,instancias/dinamica_VS_bt/BT-16-500.txt
BT,BT-16-1000,16,1000,instancias/dinamica_VS_bt/BT-16-1000.txt
BT,BT-17-500,17,500,instancias/dinamica_VS_bt/BT-17-500.txt
BT,BT-17-1000,17,1000,instancias/dinamica_VS_bt/BT-17-1000.txt
BT,BT-18-500,18,500,instancias/dinamica_VS_bt/BT-18-500.txt
BT,BT-18-1000,18,1000,instancias/dinamica_VS_bt/BT-18-1000.txt
BT,BT-19-500,19,500,instancias/dinamica_VS_bt/BT-19-500.txt
BT,BT-19-1000,19,1000,instancias/dinamica_VS_bt/BT-19-1000.txt
BT,BT-20-500,20,500,instancias/dinamica_VS_bt/BT-20-500.txt
BT,BT-20-1000,20,1000,instancias/dinamica_VS_bt/BT-20-1000.txt
BT,BT-21-500,21,500,instancias/dinamica_VS_bt/BT-21-500.txt
BT,BT-21-1000,21,1000,instancias/dinamica_VS_bt/BT-21-1000.txt
BT,BT-22-500,22,500,instancias/dinamica_VS_bt/BT-22-500.txt
BT,BT-22-1000,22,1000,instancias/dinamica_VS_bt/BT-22-1000.txt
BT,BT-23-500,23,500,instancias/dinamica_VS_bt/BT-23-500.txt
BT,BT-23-1000,23,1000,instancias/dinamica_VS_bt/BT-23-1000.txt
BT,BT-24-500,24,500,instancias/dinamica_VS_bt/BT-24-500.txt
BT,BT-24-1000,24,1000,instancias/dinamica_VS_bt/BT-24-1000.txt
BT,BT-25-500,25,500,instancias/dinamica_VS_bt/BT-25-500.txt
BT,BT-25-1000,25,1000,instancias/dinamica_VS_bt/BT-25-1000.txt
BT,BT-26-500,26,500,instancias/dinamica_VS_bt/BT-26-500.txt
BT,BT-26-1000,26,1000,instancias/dinamica_VS_bt/BT-26-1000.txt
BT,BT-27-500,27,500,instancias/dinamica_VS_bt/BT-27-500.txt
BT,BT-27-1000,27,1000,instancias/dinamica_VS_bt/BT-27-1000.txt
BT,BT-28-500,28,500,instancias/dinamica_VS_bt/BT-28-500.txt
BT,BT-28-1000,28,1000,instancias/dinamica_VS_bt/BT-28-1000.txt
BT,BT-29-500,29,500,instancias/dinamica_VS_bt/BT-29-500.txt
BT,BT-29-1000,29,1000,instancias/dinamica_VS_bt/BT-29-1000.txt
