dataset,instancia,n,R,archivo
mal-caso-BT,BT-PC-2,2,2,instancias/mal-caso-BT/BT-PC-2.txt
mal-caso-BT,BT-PC-4,4,4,instancias/mal-caso-BT/BT-PC-4.txt
mal-caso-BT,BT-PC-6,6,6,instancias/mal-caso-BT/BT-PC-6.txt
mal-caso-BT,BT-PC-8,8,8,instancias/mal-caso-BT/BT-PC-8.txt
mal-caso-BT,BT-PC-10,10,10,instancias/mal-caso-BT/BT-PC-10.txt
mal-caso-BT,BT-PC-12,12,12,instancias/mal-caso-BT/BT-PC-12.txt
mal-caso-BT,BT-PC-14,14,14,instancias/mal-caso-BT/BT-PC-14.txt
mal-caso-BT,BT-PC-16,16,16,instancias/mal-caso-BT/BT-PC-16.txt
mal-caso-BT,BT-PC-18,18,18,instancias/mal-caso-BT/BT-PC-18.txt
mal-caso-BT,BT-PC-20,20,20,instancias/mal-caso-BT/BT-PC-20.txt
mal-caso-BT,BT-PC-22,22,22,instancias/mal-caso-BT/BT-PC-22.txt
mal-caso-BT,BT-PC-24,24,24,instancias/mal-caso-BT/BT-PC-24.txt
mal-caso-BT,BT-PC-26,26,26,instancias/mal-caso-BT/BT-PC-26.txt
mal-caso-BT,BT-PC-28,28,28,instancias/mal-caso-BT/BT-PC-28.txt
mal-caso-BT,BT-PC-30,30,30,instancias/mal-caso-BT/BT-PC-30.txt
mal-caso-BT,BT-PC-32,32,32,instancias/mal-caso-BT/BT-PC-32.txt
mal-caso-BT,BT-PC-34,34,34,instancias/mal-caso-BT/BT-PC-34.txt
mal-caso-BT,BT-PC-36,36,36,instancias/mal-caso-BT/BT-PC-36.txt
mal-caso-BT,BT-PC-38,38,38,instancias/mal-caso-BT/BT-PC-38.txt
mal-caso-BT,BT-PC-40,40,40,instancias/mal-caso-BT/BT-PC-40.txt
mal-caso-BT,BT-PC-42,42,42,instancias/mal-caso-BT/BT-PC-42.txt
mal-caso-BT,BT-PC-44,44,44,instancias/mal-caso-BT/BT-PC-44.txt
mal-caso-BT,BT-PC-46,46,46,instancias/mal-caso-BT/BT-PC-46.txt
mal-caso-BT,BT-PC-48,48,48,instancias/mal-caso-BT/BT-PC-48.txt
mal-caso-BT,BT-PC-50,50,50,instancias/mal-caso-BT/BT-PC-50.txt
