dataset,n,R,metodo,tiempo
densidad-alta,1,2,FB,0.001083
densidad-alta,2,3,FB,0.00121
densidad-alta,3,4,FB,0.001456
densidad-alta,4,5,FB,0.001375
densidad-alta,5,6,FB,0.001559
densidad-alta,6,7,FB,0.001797
densidad-alta,7,8,FB,0.00245
densidad-alta,8,9,FB,0.003597
densidad-alta,9,10,FB,0.005518
densidad-alta,10,11,FB,0.009821
densidad-alta,11,12,FB,0.01764
densidad-alta,12,13,FB,0.033742
densidad-alta,13,14,FB,0.06536
densidad-alta,14,15,FB,0.129012
densidad-alta,15,16,FB,0.256417
densidad-alta,16,17,FB,0.510906
densidad-alta,17,18,FB,1.04014
densidad-alta,18,19,FB,2.08752
densidad-alta,19,20,FB,4.25355
densidad-alta,20,21,FB,8.09934
densidad-alta,21,22,FB,16.0799
densidad-alta,22,23,FB,32.0373
densidad-alta,23,24,FB,62.5961
densidad-alta,24,25,FB,124.739
densidad-alta,25,26,FB,247.607
densidad-alta,26,27,FB,505.442
densidad-alta,27,28,FB,1032.55
densidad-alta,28,29,FB,2122.82
densidad-alta,29,30,FB,4120.16
densidad-alta,30,31,FB,8436.74
densidad-baja,1,2,FB,0.001141
densidad-baja,2,3,FB,0.001379
densidad-baja,3,4,FB,0.001339
densidad-baja,4,5,FB,0.001429
densidad-baja,5,6,FB,0.001707
densidad-baja,6,7,FB,0.00182
densidad-baja,7,8,FB,0.0024
densidad-baja,8,9,FB,0.003344
densidad-baja,9,10,FB,0.00568
densidad-baja,10,11,FB,0.009366
densidad-baja,11,12,FB,0.01718
densidad-baja,12,13,FB,0.033916
densidad-baja,13,14,FB,0.06544
densidad-baja,14,15,FB,0.126071
densidad-baja,15,16,FB,0.281669
densidad-baja,16,17,FB,0.559886
densidad-baja,17,18,FB,1.20852
densidad-baja,18,19,FB,2.07106
densidad-baja,19,20,FB,4.65479
densidad-baja,20,21,FB,8.51239
densidad-baja,21,22,FB,16.6209
densidad-baja,22,23,FB,32.6114
densidad-baja,23,24,FB,66.8363
densidad-baja,24,25,FB,126.66
densidad-baja,25,26,FB,252.884
densidad-baja,26,27,FB,515.727
densidad-baja,27,28,FB,1026.44
densidad-baja,28,29,FB,2021.41
densidad-baja,29,30,FB,4062.75
densidad-baja,30,31,FB,8068.06
densidad-alta,1,2,BT,0.001223
densidad-alta,2,3,BT,0.001195
densidad-alta,3,4,BT,0.001281
densidad-alta,4,5,BT,0.001241
densidad-alta,5,6,BT,0.00138
densidad-alta,6,7,BT,0.001468
densidad-alta,7,8,BT,0.001517
densidad-alta,8,9,BT,0.001639
densidad-alta,9,10,BT,0.001939
densidad-alta,10,11,BT,0.001741
densidad-alta,11,12,BT,0.001921
densidad-alta,12,13,BT,0.002116
densidad-alta,13,14,BT,0.002276
densidad-alta,14,15,BT,0.002793
densidad-alta,15,16,BT,0.002646
densidad-alta,16,17,BT,0.002664
densidad-alta,17,18,BT,0.003131
densidad-alta,18,19,BT,0.003474
densidad-alta,19,20,BT,0.004245
densidad-alta,20,21,BT,0.00364
densidad-alta,21,22,BT,0.004405
densidad-alta,22,23,BT,0.004244
densidad-alta,23,24,BT,0.004052
densidad-alta,24,25,BT,0.006116
densidad-alta,25,26,BT,0.006316
densidad-alta,26,27,BT,0.005708
densidad-alta,27,28,BT,0.007266
densidad-alta,28,29,BT,0.006947
densidad-alta,29,30,BT,0.011093
densidad-alta,30,31,BT,0.011988
densidad-baja,1,2,BT,0.001278
densidad-baja,2,3,BT,0.001273
densidad-baja,3,4,BT,0.001284
densidad-baja,4,5,BT,0.001334
densidad-baja,5,6,BT,0.001356
densidad-baja,6,7,BT,0.00148
densidad-baja,7,8,BT,0.001799
densidad-baja,8,9,BT,0.001423
densidad-baja,9,10,BT,0.001757
densidad-baja,10,11,BT,0.002517
densidad-baja,11,12,BT,0.002578
densidad-baja,12,13,BT,0.002627
densidad-baja,13,14,BT,0.004623
densidad-baja,14,15,BT,0.002853
densidad-baja,15,16,BT,0.006165
densidad-baja,16,17,BT,0.007077
densidad-baja,17,18,BT,0.007265
densidad-baja,18,19,BT,0.010052
densidad-baja,19,20,BT,0.010011
densidad-baja,20,21,BT,0.017629
densidad-baja,21,22,BT,0.01512
densidad-baja,22,23,BT,0.012591
densidad-baja,23,24,BT,0.018185
densidad-baja,24,25,BT,0.035329
densidad-baja,25,26,BT,0.022331
densidad-baja,26,27,BT,0.045716
densidad-baja,27,28,BT,0.032385
densidad-baja,28,29,BT,0.072714
densidad-baja,29,30,BT,0.077374
densidad-baja,30,31,BT,0.119306
