dataset,n,R,metodo,tiempo
mejor-caso-BT,0,1000,BT,0.001166
mejor-caso-BT,1,1000,BT,0.001336
mejor-caso-BT,2,1000,BT,0.001399
mejor-caso-BT,3,1000,BT,0.001472
mejor-caso-BT,4,1000,BT,0.001638
mejor-caso-BT,5,1000,BT,0.001675
mejor-caso-BT,6,1000,BT,0.001717
mejor-caso-BT,7,1000,BT,0.001784
mejor-caso-BT,8,1000,BT,0.001999
mejor-caso-BT,9,1000,BT,0.002052
mejor-caso-BT,10,1000,BT,0.003168
mejor-caso-BT,11,1000,BT,0.003181
mejor-caso-BT,12,1000,BT,0.003432
mejor-caso-BT,13,1000,BT,0.003469
mejor-caso-BT,14,1000,BT,0.003454
mejor-caso-BT,15,1000,BT,0.003758
mejor-caso-BT,16,1000,BT,0.003598
mejor-caso-BT,17,1000,BT,0.003698
mejor-caso-BT,18,1000,BT,0.004857
mejor-caso-BT,19,1000,BT,0.004949
mejor-caso-BT,20,1000,BT,0.004989
mejor-caso-BT,21,1000,BT,0.005144
mejor-caso-BT,22,1000,BT,0.005048
mejor-caso-BT,23,1000,BT,0.005273
mejor-caso-BT,24,1000,BT,0.005578
mejor-caso-BT,25,1000,BT,0.005646
mejor-caso-BT,26,1000,BT,0.006209
mejor-caso-BT,27,1000,BT,0.005174
mejor-caso-BT,28,1000,BT,0.006107
mejor-caso-BT,29,1000,BT,0.006667
mejor-caso-BT,30,1000,BT,0.006747
mejor-caso-BT,31,1000,BT,0.007103
mejor-caso-BT,32,1000,BT,0.006985
mejor-caso-BT,33,1000,BT,0.009654
mejor-caso-BT,34,1000,BT,0.007275
mejor-caso-BT,35,1000,BT,0.009156
mejor-caso-BT,36,1000,BT,0.009264
mejor-caso-BT,37,1000,BT,0.009644
mejor-caso-BT,38,1000,BT,0.009579
mejor-caso-BT,39,1000,BT,0.009899
mejor-caso-BT,40,1000,BT,0.00999
mejor-caso-BT,41,1000,BT,0.009948
mejor-caso-BT,42,1000,BT,0.009796
mejor-caso-BT,43,1000,BT,0.011607
mejor-caso-BT,44,1000,BT,0.011182
mejor-caso-BT,45,1000,BT,0.011154
mejor-caso-BT,46,1000,BT,0.010248
mejor-caso-BT,47,1000,BT,0.011602
mejor-caso-BT,48,1000,BT,0.011403
mejor-caso-BT,49,1000,BT,0.011364
mejor-caso-BT,50,1000,BT,0.011646
mejor-caso-BT,51,1000,BT,0.011737
mejor-caso-BT,52,1000,BT,0.013084
mejor-caso-BT,53,1000,BT,0.012637
mejor-caso-BT,54,1000,BT,0.013063
mejor-caso-BT,55,1000,BT,0.013008
mejor-caso-BT,56,1000,BT,0.013076
mejor-caso-BT,57,1000,BT,0.01331
mejor-caso-BT,58,1000,BT,0.013564
mejor-caso-BT,59,1000,BT,0.014412
mejor-caso-BT,60,1000,BT,0.014611
mejor-caso-BT,61,1000,BT,0.014414
mejor-caso-BT,62,1000,BT,0.014594
mejor-caso-BT,63,1000,BT,0.01502
mejor-caso-BT,64,1000,BT,0.01501
mejor-caso-BT,65,1000,BT,0.014609
mejor-caso-BT,66,1000,BT,0.014384
mejor-caso-BT,67,1000,BT,0.015913
mejor-caso-BT,68,1000,BT,0.014883
mejor-caso-BT,69,1000,BT,0.015033
mejor-caso-BT,70,1000,BT,0.017448
mejor-caso-BT,71,1000,BT,0.016236
mejor-caso-BT,72,1000,BT,0.016011
mejor-caso-BT,73,1000,BT,0.016725
mejor-caso-BT,74,1000,BT,0.015743
mejor-caso-BT,75,1000,BT,0.018151
mejor-caso-BT,76,1000,BT,0.017635
mejor-caso-BT,77,1000,BT,0.017059
mejor-caso-BT,78,1000,BT,0.017587
mejor-caso-BT,79,1000,BT,0.018346
mejor-caso-BT,80,1000,BT,0.017706
mejor-caso-BT,81,1000,BT,0.019241
mejor-caso-BT,82,1000,BT,0.018306
mejor-caso-BT,83,1000,BT,0.018461
mejor-caso-BT,84,1000,BT,0.019669
mejor-caso-BT,85,1000,BT,0.020134
mejor-caso-BT,86,1000,BT,0.019581
mejor-caso-BT,87,1000,BT,0.020044
mejor-caso-BT,88,1000,BT,0.019998
mejor-caso-BT,89,1000,BT,0.019904
mejor-caso-BT,90,1000,BT,0.020208
mejor-caso-BT,91,1000,BT,0.020951
mejor-caso-BT,92,1000,BT,0.020175
mejor-caso-BT,93,1000,BT,0.02134
mejor-caso-BT,94,1000,BT,0.02137
mejor-caso-BT,95,1000,BT,0.022803
mejor-caso-BT,96,1000,BT,0.021452
mejor-caso-BT,97,1000,BT,0.021913
mejor-caso-BT,98,1000,BT,0.02231
mejor-caso-BT,99,1000,BT,0.021705
mejor-caso-BT,100,1000,BT,0.021749
mejor-caso-BT,101,1000,BT,0.023819
mejor-caso-BT,102,1000,BT,0.022867
mejor-caso-BT,103,1000,BT,0.022193
mejor-caso-BT,104,1000,BT,0.02277
mejor-caso-BT,105,1000,BT,0.023596
mejor-caso-BT,106,1000,BT,0.023599
mejor-caso-BT,107,1000,BT,0.023298
mejor-caso-BT,108,1000,BT,0.022726
mejor-caso-BT,109,1000,BT,0.023784
mejor-caso-BT,110,1000,BT,0.023272
mejor-caso-BT,111,1000,BT,0.024425
mejor-caso-BT,112,1000,BT,0.025074
mejor-caso-BT,113,1000,BT,0.024885
mejor-caso-BT,114,1000,BT,0.025923
mejor-caso-BT,115,1000,BT,0.024585
mejor-caso-BT,116,1000,BT,0.023996
mejor-caso-BT,117,1000,BT,0.024834
mejor-caso-BT,118,1000,BT,0.024061
mejor-caso-BT,119,1000,BT,0.024526
mejor-caso-BT,120,1000,BT,0.024935
mejor-caso-BT,121,1000,BT,0.025527
mejor-caso-BT,122,1000,BT,0.026527
mejor-caso-BT,123,1000,BT,0.026601
mejor-caso-BT,124,1000,BT,0.025829
mejor-caso-BT,125,1000,BT,0.027045
mejor-caso-BT,126,1000,BT,0.027961
mejor-caso-BT,127,1000,BT,0.026966
