dataset,n,R,metodo,tiempo
peor-caso-BT-O,0,50,BT-O,0.001915
peor-caso-BT-O,1,50,BT-O,0.001917
peor-caso-BT-O,2,50,BT-O,0.00198
peor-caso-BT-O,3,50,BT-O,0.001895
peor-caso-BT-O,4,50,BT-O,0.002381
peor-caso-BT-O,5,50,BT-O,0.002798
peor-caso-BT-O,6,50,BT-O,0.003625
peor-caso-BT-O,7,50,BT-O,0.003372
peor-caso-BT-O,8,50,BT-O,0.007459
peor-caso-BT-O,9,50,BT-O,0.012291
peor-caso-BT-O,10,50,BT-O,0.015122
peor-caso-BT-O,11,50,BT-O,0.046678
peor-caso-BT-O,12,50,BT-O,0.07754
peor-caso-BT-O,13,50,BT-O,0.111282
peor-caso-BT-O,14,50,BT-O,0.211555
peor-caso-BT-O,15,50,BT-O,0.423025
peor-caso-BT-O,16,50,BT-O,0.885658
peor-caso-BT-O,17,50,BT-O,1.79487
peor-caso-BT-O,18,50,BT-O,3.37693
peor-caso-BT-O,19,50,BT-O,8.36143
peor-caso-BT-O,20,50,BT-O,15.9399
peor-caso-BT-O,21,50,BT-O,29.4454
peor-caso-BT-O,22,50,BT-O,56.9438
peor-caso-BT-O,23,50,BT-O,114.596
peor-caso-BT-O,24,50,BT-O,231.818
peor-caso-BT-O,25,50,BT-O,458.659
peor-caso-BT-O,26,50,BT-O,913.255
peor-caso-BT-O,27,50,BT-O,1830.52
peor-caso-BT-O,28,50,BT-O,3653.93
peor-caso-BT-O,29,50,BT-O,7422.89
peor-caso-BT-F,0,50,BT-F,0.001402
peor-caso-BT-F,1,50,BT-F,0.001848
peor-caso-BT-F,2,50,BT-F,0.001447
peor-caso-BT-F,3,50,BT-F,0.001915
peor-caso-BT-F,4,50,BT-F,0.001644
peor-caso-BT-F,5,50,BT-F,0.002374
peor-caso-BT-F,6,50,BT-F,0.002373
peor-caso-BT-F,7,50,BT-F,0.003274
peor-caso-BT-F,8,50,BT-F,0.004514
peor-caso-BT-F,9,50,BT-F,0.007811
peor-caso-BT-F,10,50,BT-F,0.013497
peor-caso-BT-F,11,50,BT-F,0.026177
peor-caso-BT-F,12,50,BT-F,0.059976
peor-caso-BT-F,13,50,BT-F,0.099542
peor-caso-BT-F,14,50,BT-F,0.228092
peor-caso-BT-F,15,50,BT-F,0.39914
peor-caso-BT-F,16,50,BT-F,0.878668
peor-caso-BT-F,17,50,BT-F,1.61352
peor-caso-BT-F,18,50,BT-F,3.66341
peor-caso-BT-F,19,50,BT-F,6.79461
peor-caso-BT-F,20,50,BT-F,13.9928
peor-caso-BT-F,21,50,BT-F,27.3768
peor-caso-BT-F,22,50,BT-F,53.859
peor-caso-BT-F,23,50,BT-F,108.48
peor-caso-BT-F,24,50,BT-F,222.24
peor-caso-BT-F,25,50,BT-F,466.639
peor-caso-BT-F,26,50,BT-F,942.993
peor-caso-BT-F,27,50,BT-F,1748.03
peor-caso-BT-F,28,50,BT-F,3418.4
peor-caso-BT-F,29,50,BT-F,6877.1
densidad-baja,0,1,BT,0.001793
densidad-baja,1,2,BT,0.001327
densidad-baja,2,3,BT,0.001545
densidad-baja,3,4,BT,0.001684
densidad-baja,4,5,BT,0.001613
densidad-baja,5,6,BT,0.002022
densidad-baja,6,7,BT,0.002163
densidad-baja,7,8,BT,0.002197
densidad-baja,8,9,BT,0.004557
densidad-baja,9,10,BT,0.003222
densidad-baja,10,11,BT,0.005772
densidad-baja,11,12,BT,0.006646
densidad-baja,12,13,BT,0.009728
densidad-baja,13,14,BT,0.011164
densidad-baja,14,15,BT,0.019891
densidad-baja,15,16,BT,0.017735
densidad-baja,16,17,BT,0.015038
densidad-baja,17,18,BT,0.014004
densidad-baja,18,19,BT,0.053619
densidad-baja,19,20,BT,0.033677
densidad-baja,20,21,BT,0.114467
densidad-baja,21,22,BT,0.048479
densidad-baja,22,23,BT,0.070242
densidad-baja,23,24,BT,0.095906
densidad-baja,24,25,BT,0.174501
densidad-baja,25,26,BT,0.162049
densidad-baja,26,27,BT,0.212225
densidad-baja,27,28,BT,0.30572
densidad-baja,28,29,BT,0.305024
densidad-baja,29,30,BT,0.40168
densidad-baja,30,31,BT,0.48086
densidad-baja,31,32,BT,0.630674
densidad-baja,32,33,BT,1.2779
densidad-baja,33,34,BT,0.586539
densidad-baja,34,35,BT,2.49653
densidad-baja,35,36,BT,0.831144
densidad-baja,36,37,BT,1.04077
densidad-baja,37,38,BT,0.592853
densidad-baja,38,39,BT,1.14279
densidad-baja,39,40,BT,1.57462
densidad-baja,40,41,BT,2.5945
densidad-baja,41,42,BT,5.25907
densidad-baja,42,43,BT,10.7159
densidad-baja,43,44,BT,2.32896
densidad-baja,44,45,BT,3.47235
densidad-baja,45,46,BT,4.07724
densidad-baja,46,47,BT,7.05305
densidad-baja,47,48,BT,4.4038
densidad-baja,48,49,BT,31.3337
densidad-baja,49,50,BT,6.00663
densidad-baja,50,51,BT,27.0851
densidad-baja,51,52,BT,5.83711
densidad-baja,52,53,BT,17.0151
densidad-baja,53,54,BT,12.4603
densidad-baja,54,55,BT,60.1663
densidad-baja,55,56,BT,21.0116
densidad-baja,56,57,BT,74.6969
densidad-baja,57,58,BT,23.3471
densidad-baja,58,59,BT,79.9178
densidad-baja,59,60,BT,22.3268
densidad-baja,60,61,BT,41.8226
densidad-baja,61,62,BT,71.9726
densidad-baja,62,63,BT,95.2255
densidad-baja,63,64,BT,51.8758
densidad-baja,64,65,BT,125.286
densidad-baja,65,66,BT,131.043
densidad-baja,66,67,BT,80.7243
densidad-baja,67,68,BT,111.937
densidad-baja,68,69,BT,300.44
densidad-baja,69,70,BT,94.1039
densidad-baja,70,71,BT,121.581
densidad-baja,71,72,BT,267.587
densidad-baja,72,73,BT,598.832
densidad-baja,73,74,BT,134.954
densidad-baja,74,75,BT,142.319
densidad-baja,75,76,BT,68.7744
densidad-baja,76,77,BT,458.715
densidad-baja,77,78,BT,123.454
densidad-baja,78,79,BT,695.461
