dataset,n,R,metodo,tiempo
BT,2,500,BT,0.001608
BT,2,1000,BT,0.001694
BT,3,500,BT,0.001454
BT,3,1000,BT,0.001468
BT,4,500,BT,0.001834
BT,4,1000,BT,0.001493
BT,5,500,BT,0.00172
BT,5,1000,BT,0.001696
BT,6,500,BT,0.002363
BT,6,1000,BT,0.00194
BT,7,500,BT,0.00231
BT,7,1000,BT,0.002568
BT,8,500,BT,0.003062
BT,8,1000,BT,0.003163
BT,9,500,BT,0.004152
BT,9,1000,BT,0.003998
BT,10,500,BT,0.008179
BT,10,1000,BT,0.008343
BT,11,500,BT,0.011411
BT,11,1000,BT,0.008711
BT,12,500,BT,0.044016
BT,12,1000,BT,0.028283
BT,13,500,BT,0.032368
BT,13,1000,BT,0.030069
BT,14,500,BT,0.108172
BT,14,1000,BT,0.114717
BT,15,500,BT,0.111283
BT,15,1000,BT,0.110391
BT,16,500,BT,0.437222
BT,16,1000,BT,0.438084
BT,17,500,BT,0.458433
BT,17,1000,BT,0.433934
BT,18,500,BT,1.72451
BT,18,1000,BT,1.80282
BT,19,500,BT,2.29523
BT,19,1000,BT,1.89868
BT,20,500,BT,6.94524
BT,20,1000,BT,7.08205
BT,21,500,BT,7.05763
BT,21,1000,BT,8.11125
BT,22,500,BT,29.1927
BT,22,1000,BT,29.6003
BT,23,500,BT,29.0487
BT,23,1000,BT,29.6959
BT,24,500,BT,115.008
BT,24,1000,BT,115.684
BT,25,500,BT,115.925
BT,25,1000,BT,125.715
BT,26,500,BT,462.692
BT,26,1000,BT,427.987
BT,27,500,BT,534.752
BT,27,1000,BT,449.917
BT,28,500,BT,1753.03
BT,28,1000,BT,1832.61
BT,29,500,BT,1837.98
BT,29,1000,BT,1789.4
DP,2,500,DP,0.005633
DP,2,1000,DP,0.011284
DP,3,500,DP,0.005652
DP,3,1000,DP,0.014032
DP,4,500,DP,0.007188
DP,4,1000,DP,0.018756
DP,5,500,DP,0.009255
DP,5,1000,DP,0.020019
DP,6,500,DP,0.008949
DP,6,1000,DP,0.023351
DP,7,500,DP,0.009403
DP,7,1000,DP,0.019059
DP,8,500,DP,0.012426
DP,8,1000,DP,0.020014
DP,9,500,DP,0.01729
DP,9,1000,DP,0.022107
DP,10,500,DP,0.015929
DP,10,1000,DP,0.024858
DP,11,500,DP,0.024978
DP,11,1000,DP,0.034088
DP,12,500,DP,0.019445
DP,12,1000,DP,0.030795
DP,13,500,DP,0.02053
DP,13,1000,DP,0.033202
DP,14,500,DP,0.019902
DP,14,1000,DP,0.041701
DP,15,500,DP,0.027757
DP,15,1000,DP,0.044745
DP,16,500,DP,0.027355
DP,16,1000,DP,0.041904
DP,17,500,DP,0.036328
DP,17,1000,DP,0.051669
DP,18,500,DP,0.032459
DP,18,1000,DP,0.05053
DP,19,500,DP,0.038966
DP,19,1000,DP,0.056907
DP,20,500,DP,0.040958
DP,20,1000,DP,0.065357
DP,21,500,DP,0.045898
DP,21,1000,DP,0.068438
DP,22,500,DP,0.046796
DP,22,1000,DP,0.065006
DP,23,500,DP,0.051656
DP,23,1000,DP,0.071502
DP,24,500,DP,0.06737
DP,24,1000,DP,0.074744
DP,25,500,DP,0.053917
DP,25,1000,DP,0.080176
DP,26,500,DP,0.098446
DP,26,1000,DP,0.091958
DP,27,500,DP,0.069967
DP,27,1000,DP,0.102544
DP,28,500,DP,0.07606
DP,28,1000,DP,0.103108
DP,29,500,DP,0.071186
DP,29,1000,DP,0.099608
