dataset,n,R,metodo,tiempo
dinamica,100,1000,DP,0.278596
dinamica,100,1500,DP,0.355928
dinamica,100,2000,DP,0.483031
dinamica,100,2500,DP,0.813412
dinamica,100,3000,DP,0.836564
dinamica,100,3500,DP,0.995837
dinamica,100,4000,DP,0.910078
dinamica,100,4500,DP,1.28007
dinamica,100,5000,DP,1.33992
dinamica,100,5500,DP,1.75793
dinamica,100,6000,DP,1.47272
dinamica,100,6500,DP,1.75185
dinamica,100,7000,DP,2.09388
dinamica,100,7500,DP,2.0138
dinamica,600,1000,DP,4.58701
dinamica,600,1500,DP,4.81821
dinamica,600,2000,DP,5.5342
dinamica,600,2500,DP,5.45333
dinamica,600,3000,DP,6.79992
dinamica,600,3500,DP,7.97635
dinamica,600,4000,DP,7.61569
dinamica,600,4500,DP,8.36774
dinamica,600,5000,DP,9.76584
dinamica,600,5500,DP,11.17
dinamica,600,6000,DP,9.89947
dinamica,600,6500,DP,11.4706
dinamica,600,7000,DP,12.0682
dinamica,600,7500,DP,13.3042
dinamica,1100,1000,DP,12.327
dinamica,1100,1500,DP,13.1145
dinamica,1100,2000,DP,14.4747
dinamica,1100,2500,DP,15.0265
dinamica,1100,3000,DP,17.8854
dinamica,1100,3500,DP,17.948
dinamica,1100,4000,DP,20.2773
dinamica,1100,4500,DP,20.4243
dinamica,1100,5000,DP,21.9046
dinamica,1100,5500,DP,23.77
dinamica,1100,6000,DP,25.3473
dinamica,1100,6500,DP,25.8625
dinamica,1100,7000,DP,25.6655
dinamica,1100,7500,DP,26.638
dinamica,1600,1000,DP,23.2568
dinamica,1600,1500,DP,46.1401
dinamica,1600,2000,DP,37.8266
dinamica,1600,2500,DP,39.2845
dinamica,1600,3000,DP,41.2896
dinamica,1600,3500,DP,42.1288
dinamica,1600,4000,DP,48.8068
dinamica,1600,4500,DP,48.2389
dinamica,1600,5000,DP,47.9952
dinamica,1600,5500,DP,54.5175
dinamica,1600,6000,DP,51.415
dinamica,1600,6500,DP,52.3012
dinamica,1600,7000,DP,49.7257
dinamica,1600,7500,DP,49.5574
dinamica,2100,1000,DP,39.6405
dinamica,2100,1500,DP,43.1821
dinamica,2100,2000,DP,47.3088
dinamica,2100,2500,DP,50.8514
dinamica,2100,3000,DP,67.4607
dinamica,2100,3500,DP,58.0921
dinamica,2100,4000,DP,58.0586
dinamica,2100,4500,DP,60.6899
dinamica,2100,5000,DP,62.0014
dinamica,2100,5500,DP,63.8148
dinamica,2100,6000,DP,65.3101
dinamica,2100,6500,DP,69.7775
dinamica,2100,7000,DP,69.5185
dinamica,2100,7500,DP,70.7116
dinamica,2600,1000,DP,43.5762
dinamica,2600,1500,DP,66.3792
dinamica,2600,2000,DP,68.4675
dinamica,2600,2500,DP,74.9216
dinamica,2600,3000,DP,76.7666
dinamica,2600,3500,DP,76.4197
dinamica,2600,4000,DP,83.9562
dinamica,2600,4500,DP,83.1017
dinamica,2600,5000,DP,87.3623
dinamica,2600,5500,DP,91.8104
dinamica,2600,6000,DP,92.0654
dinamica,2600,6500,DP,95.488
dinamica,2600,7000,DP,97.8968
dinamica,2600,7500,DP,97.173
dinamica,3100,1000,DP,51.5214
dinamica,3100,1500,DP,89.2014
dinamica,3100,2000,DP,97.7207
dinamica,3100,2500,DP,102.494
dinamica,3100,3000,DP,114.918
dinamica,3100,3500,DP,106.408
dinamica,3100,4000,DP,115.97
dinamica,3100,4500,DP,144.735
dinamica,3100,5000,DP,116.827
dinamica,3100,5500,DP,121.096
dinamica,3100,6000,DP,121.918
dinamica,3100,6500,DP,125.618
dinamica,3100,7000,DP,123.828
dinamica,3100,7500,DP,128.339
dinamica,3600,1000,DP,58.8583
dinamica,3600,1500,DP,94.3946
dinamica,3600,2000,DP,128.605
dinamica,3600,2500,DP,135.466
dinamica,3600,3000,DP,143.335
dinamica,3600,3500,DP,132.308
dinamica,3600,4000,DP,136.27
dinamica,3600,4500,DP,141.781
dinamica,3600,5000,DP,144.442
dinamica,3600,5500,DP,145.785
dinamica,3600,6000,DP,153.005
dinamica,3600,6500,DP,156.013
dinamica,3600,7000,DP,157.214
dinamica,3600,7500,DP,161.2
dinamica,4100,1000,DP,65.1548
dinamica,4100,1500,DP,106.204
dinamica,4100,2000,DP,155.23
dinamica,4100,2500,DP,164.544
dinamica,4100,3000,DP,170.799
dinamica,4100,3500,DP,170.445
dinamica,4100,4000,DP,181.543
dinamica,4100,4500,DP,183.33
dinamica,4100,5000,DP,189.301
dinamica,4100,5500,DP,186.901
dinamica,4100,6000,DP,193.416
dinamica,4100,6500,DP,196.751
dinamica,4100,7000,DP,199.84
dinamica,4100,7500,DP,204.374
dinamica,4600,1000,DP,73.1107
dinamica,4600,1500,DP,118.573
dinamica,4600,2000,DP,170.317
dinamica,4600,2500,DP,205.092
dinamica,4600,3000,DP,214.194
dinamica,4600,3500,DP,211.077
dinamica,4600,4000,DP,221.678
dinamica,4600,4500,DP,221.523
dinamica,4600,5000,DP,227.863
dinamica,4600,5500,DP,229.737
dinamica,4600,6000,DP,245.935
dinamica,4600,6500,DP,241.519
dinamica,4600,7000,DP,243.259
dinamica,4600,7500,DP,249.09
dinamica,5100,1000,DP,79.2229
dinamica,5100,1500,DP,132.839
dinamica,5100,2000,DP,185.523
dinamica,5100,2500,DP,239.311
dinamica,5100,3000,DP,260.051
dinamica,5100,3500,DP,259.959
dinamica,5100,4000,DP,267.902
dinamica,5100,4500,DP,274.64
dinamica,5100,5000,DP,277.812
dinamica,5100,5500,DP,278.315
dinamica,5100,6000,DP,293.803
dinamica,5100,6500,DP,297.922
dinamica,5100,7000,DP,332.917
dinamica,5100,7500,DP,316.884
dinamica,5600,1000,DP,92.7651
dinamica,5600,1500,DP,169.058
dinamica,5600,2000,DP,234.81
dinamica,5600,2500,DP,306.611
dinamica,5600,3000,DP,314.062
dinamica,5600,3500,DP,310.881
dinamica,5600,4000,DP,330.997
dinamica,5600,4500,DP,357.016
dinamica,5600,5000,DP,360.267
dinamica,5600,5500,DP,373.363
dinamica,5600,6000,DP,417.678
dinamica,5600,6500,DP,372.065
dinamica,5600,7000,DP,358.704
dinamica,5600,7500,DP,387.278
dinamica,6100,1000,DP,108.239
dinamica,6100,1500,DP,159.956
dinamica,6100,2000,DP,232.493
dinamica,6100,2500,DP,324.593
dinamica,6100,3000,DP,489.553
dinamica,6100,3500,DP,437.282
dinamica,6100,4000,DP,406.853
dinamica,6100,4500,DP,381.517
dinamica,6100,5000,DP,393.308
dinamica,6100,5500,DP,390.991
dinamica,6100,6000,DP,405.866
dinamica,6100,6500,DP,403.57
dinamica,6100,7000,DP,408.228
dinamica,6100,7500,DP,414.238
dinamica,6600,1000,DP,100.936
