51 1275
1 2 12.36932
1 3 19.20937
1 4 31.06445
1 5 22.2036
1 6 16.76305
1 7 22.82542
1 8 11.6619
1 9 24.20744
1 10 34.0147
1 11 12.08305
1 12 20.88061
1 13 41.86884
1 14 26.92582
1 15 36.01389
1 16 18.60108
1 17 30.67572
1 18 27.58623
1 19 45.79301
1 20 20.88061
1 21 26.92582
1 22 7.07107
1 23 21.58703
1 24 29.0
1 25 33.10589
1 26 18.86796
1 27 8.06226
1 28 16.15549
1 29 21.37756
1 30 32.64966
1 31 17.0
1 32 6.08276
1 33 42.95346
1 34 30.61046
1 35 27.313
1 36 31.06445
1 37 30.41381
1 38 18.78829
1 39 43.04649
1 40 56.0357
1 41 44.20407
1 42 44.94441
1 43 34.17601
1 44 37.65634
1 45 42.04759
1 46 13.92839
1 47 23.32381
1 48 12.36932
1 49 26.40076
1 50 24.20744
1 51 13.89244
2 3 15.29706
2 4 37.01351
2 5 21.0238
2 6 28.07134
2 7 34.9285
2 8 22.2036
2 9 16.27882
2 10 28.07134
2 11 10.63015
2 12 24.75884
2 13 50.11986
2 14 37.65634
2 15 35.4683
2 16 8.544
2 17 34.05877
2 18 35.77709
2 19 50.91169
2 20 12.04159
2 21 14.76482
2 22 10.63015
2 23 33.95585
2 24 41.10961
2 25 43.41659
2 26 29.06888
2 27 19.0263
2 28 18.97367
2 29 9.05539
2 30 23.76973
2 31 23.32381
2 32 11.40175
2 33 39.11521
2 34 20.0
2 35 19.10497
2 36 24.41311
2 37 31.90611
2 38 14.56022
2 39 35.44009
2 40 61.52235
2 41 50.44799
2 42 48.01042
2 43 46.48656
2 44 38.94868
2 45 40.26164
2 46 19.72308
2 47 29.41088
2 48 24.73863
2 49 21.0238
2 50 13.89244
2 51 21.0238
3 4 49.67897
3 5 36.05551
3 6 35.35534
3 7 35.01428
3 8 21.09502
3 9 31.0
3 10 43.01163
3 11 25.07987
3 12 38.27532
3 13 61.07373
3 14 45.65085
3 15 50.59644
3 16 23.0
3 17 48.02083
3 18 46.75468
3 19 64.2028
3 20 7.81025
3 21 24.16609
3 22 12.20656
3 23 36.67424
3 24 45.60702
3 25 51.97115
3 26 25.31798
3 27 27.20294
3 28 9.48683
3 29 17.08801
3 30 37.48333
3 31 15.81139
3 32 22.80351
3 33 54.33231
3 34 32.28002
3 35 10.04988
3 36 12.08305
3 37 46.51881
3 38 29.83287
3 39 49.49747
3 40 74.65253
3 41 63.03174
3 42 62.26556
3 43 47.0
3 44 53.7122
3 45 55.54278
3 46 32.01562
3 47 41.86884
3 48 28.4605
3 49 36.22154
3 50 27.29469
3 51 32.55764
4 5 20.39608
4 6 21.0238
4 7 37.12142
4 8 37.64306
4 9 32.75668
4 10 31.40064
4 11 26.62705
4 12 12.52996
4 13 15.0333
4 14 17.88854
4 15 18.86796
4 16 35.34119
4 17 7.61577
4 18 7.61577
4 19 14.76482
4 20 48.9183
4 21 44.94441
4 22 38.01316
4 23 31.257
4 24 28.63564
4 25 17.69181
4 26 42.57934
4 27 24.16609
4 28 47.01064
4 29 43.909
4 30 38.01316
4 31 46.23851
4 32 26.90725
4 33 30.52868
4 34 41.59327
4 35 55.97321
4 36 60.81118
4 37 12.64911
4 38 26.57066
4 39 40.5216
4 40 25.0
4 41 13.45362
4 42 16.03122
4 43 40.8534
4 44 14.86607
4 45 24.83948
4 46 17.69181
4 47 7.81025
4 48 29.42788
4 49 28.07134
4 50 37.64306
4 51 17.20465
5 6 25.4951
5 7 40.22437
5 8 33.24154
5 9 12.36932
5 10 14.21267
5 11 11.18034
5 12 9.21954
5 13 35.35534
5 14 30.46309
5 15 14.56022
5 16 16.27882
5 17 14.76482
5 18 23.19483
5 19 31.90611
5 20 32.75668
5 21 25.05993
5 22 27.07397
5 23 36.12478
5 24 38.83298
5 25 33.95585
5 26 40.16217
5 27 20.59126
5 28 37.12142
5 29 25.45584
5 30 18.24829
5 31 39.11521
5 32 16.12452
5 33 20.88061
