575 165025
1 2 18.68154
1 3 21.63331
1 4 30.41381
1 5 35.01428
1 6 46.84015
1 7 58.69412
1 8 65.06919
1 9 81.78631
1 10 90.60905
1 11 98.0
1 12 113.07077
1 13 114.00439
1 14 126.3962
1 15 142.088
1 16 152.01316
1 17 157.5373
1 18 172.14238
1 19 179.01117
1 20 190.00263
1 21 201.00249
1 22 211.19186
1 23 223.10984
1 24 14.03567
1 25 7.81025
1 26 23.76973
1 27 26.24881
1 28 42.15448
1 29 52.55473
1 30 61.20457
1 31 70.83078
1 32 80.80842
1 33 93.53609
1 34 102.04411
1 35 107.37784
1 36 118.06778
1 37 126.75173
1 38 136.78085
1 39 145.34442
1 40 160.25293
1 41 171.07308
1 42 176.04545
1 43 185.13239
1 44 197.49684
1 45 205.24376
1 46 218.08255
1 47 37.33631
1 48 26.83282
1 49 37.73592
1 50 44.55334
1 51 55.31727
1 52 56.36488
1 53 67.06713
1 54 81.84131
1 55 86.00581
1 56 93.92018
1 57 99.20181
1 58 110.63453
1 59 118.12705
1 60 134.20134
1 61 143.83671
1 62 155.72412
1 63 158.0696
1 64 167.7051
1 65 178.27226
1 66 191.04973
1 67 204.51895
1 68 210.76053
1 69 218.79899
1 70 53.23533
1 71 55.57877
1 72 47.01064
1 73 53.53504
1 74 59.20304
1 75 77.62087
1 76 77.98718
1 77 84.20214
1 78 91.26336
1 79 103.76897
1 80 107.54069
1 81 123.94354
1 82 127.9453
1 83 139.46326
1 84 149.16434
1 85 156.54392
1 86 162.92636
1 87 175.14851
1 88 189.46504
1 89 197.18519
1 90 202.27704
1 91 217.44195
1 92 223.37636
1 93 65.03076
1 94 71.70077
1 95 82.20097
1 96 72.61543
1 97 79.40403
1 98 84.40379
1 99 95.90099
1 100 97.67292
1 101 109.60383
1 102 119.47385
1 103 123.55566
1 104 131.74597
1 105 144.50606
1 106 143.65584
1 107 162.41305
1 108 170.95029
1 109 175.76405
1 110 176.61823
1 111 200.53179
1 112 204.70711
1 113 211.59631
1 114 222.65669
1 115 233.1373
1 116 82.1523
1 117 84.21401
1 118 96.33795
1 119 90.47652
1 120 95.70789
1 121 107.35455
1 122 118.5116
1 123 105.26158
1 124 118.69709
1 125 128.00391
1 126 128.97287
1 127 147.1054
1 128 160.56151
1 129 155.87174
1 130 170.0
1 131 174.77128
1 132 183.84776
1 133 196.02296
1 134 196.4001
1 135 215.1116
1 136 218.68928
1 137 228.98908
1 138 237.94537
1 139 109.0
1 140 122.14745
1 141 104.23531
1 142 116.70904
1 143 119.25183
1 144 115.95258
1 145 130.61393
1 146 130.91982
1 147 130.80138
1 148 141.87318
1 149 151.48597
1 150 159.176
1 151 162.27446
1 152 173.56555
1 153 181.04419
1 154 184.62123
1 155 194.42736
1 156 202.27209
1 157 215.23243
1 158 220.1931
1 159 224.26993
1 160 237.95168
1 161 242.0124
1 162 130.01538
1 163 130.38405
1 164 132.67253
1 165 140.46352
1 166 136.82105
1 167 134.83323
1 168 140.03571
1 169 141.9049
1 170 147.14619
1 171 157.84169
1 172 157.00318
1 173 165.09694
1 174 184.28782
1 175 192.37983
1 176 199.40411
1 177 205.13898
1 178 200.06249
1 179 218.48799
1 180 220.20445
1 181 237.84449
1 182 232.71012
1 183 246.61711
1 184 262.45762
1 185 148.0304
1 186 160.44937
1 187 155.70806
1 188 155.36409
1 189 159.35495
1 190 156.89487
1 191 168.7987
1 192 160.63935
1 193 172.62966
1 194 170.81569
1 195 181.79659
1 196 189.83414
1 197 198.00253
1 198 205.762
1 199 211.19186
1 200 215.18829
1 201 217.27632
1 202 228.8777
1 203 225.99558
1 204 243.2139
1 205 254.6154
1 206 262.84026
1 207 265.51459
1 208 172.01163
1 209 165.24527
1 210 176.91806
1 211 180.18879
1 212 170.83618
1 213 185.53975
1 214 190.37332
1 215 188.90474
1 216 189.36209
1 217 187.94946
1 218 203.78911
1 219 205.54805
1 220 211.34096
1 221 208.40345
1 222 221.50395
1 223 236.35778
1 224 229.863
1 225 242.58813
1 226 244.76111
1 227 255.31353
1 228 268.67266
1 229 267.60605
1 230 280.49242
1 231 192.06509
1 232 189.31984
1 233 183.69812
1 234 197.0
1 235 198.66806
1 236 190.67249
1 237 199.0402
1 238 206.51634
1 239 208.25465
1 240 213.44086
1 241 213.00939
1 242 229.71504
1 243 219.4288
1 244 228.53665
1 245 232.26278
1 246 245.05102
1 247 252.87546
1 248 256.44493
1 249 253.89959
1 250 275.86228
1 251 282.84625
1 252 292.17974
1 253 292.20541
1 254 204.0
1 255 216.05786
1 256 204.55073
1 257 223.30472
1 258 213.17833
1 259 217.49713
1 260 221.46106
1 261 231.89006
1 262 230.6881
1 263 236.77204
1 264 230.90258
1 265 234.47814
1 266 243.73141
1 267 241.59884
1 268 252.11505
1 269 251.91467
1 270 269.80363
1 271 268.49581
1 272 269.89813
1 273 288.7369
1 274 291.4138
1 275 296.99832
1 276 306.8876
1 277 222.0
1 278 239.13385
1 279 235.61409
1 280 230.95671
1 281 239.88539
1 282 228.47538
1 283 240.11039
1 284 248.64634
1 285 253.35548
1 286 239.94166
1 287 254.77834
1 288 260.3248
1 289 254.48969
1 290 256.62814
1 291 275.42694
1 292 267.36679
