100 4950
1 2 1692.82988
1 3 2252.27085
1 4 1103.60953
1 5 2522.8145
1 6 396.85262
1 7 1446.76536
1 8 424.5374
1 9 1424.05934
1 10 749.10613
1 11 902.26936
1 12 1546.99224
1 13 2553.84514
1 14 2378.37024
1 15 1014.75366
1 16 1259.35618
1 17 1017.52887
1 18 1167.46949
1 19 813.70572
1 20 1404.84341
1 21 885.11299
1 22 1329.53112
1 23 882.22049
1 24 1206.06675
1 25 1194.02052
1 26 1510.63861
1 27 1571.55973
1 28 415.63686
1 29 2080.50403
1 30 2144.57455
1 31 886.71303
1 32 790.22592
1 33 2640.85176
1 34 1803.86973
1 35 1576.11833
1 36 1172.71054
1 37 2518.19499
1 38 1224.82652
1 39 2102.3142
1 40 1358.1064
1 41 2697.59912
1 42 661.46051
1 43 2250.85984
1 44 1668.39444
1 45 923.01788
1 46 2114.68627
1 47 429.19692
1 48 2522.63295
1 49 442.2895
1 50 1706.5723
1 51 1128.68951
1 52 2474.05174
1 53 1010.45138
1 54 1394.17969
1 55 1707.54619
1 56 795.34269
1 57 1359.81763
1 58 718.22907
1 59 1030.89718
1 60 1152.28903
1 61 1043.21858
1 62 1259.65908
1 63 288.08679
1 64 1365.66211
1 65 1250.23398
1 66 1286.43888
1 67 593.18884
1 68 1617.6928
1 69 1240.50353
1 70 1386.55905
1 71 2635.2831
1 72 801.53852
1 73 1531.15969
1 74 941.98195
1 75 628.04618
1 76 2648.72384
1 77 1048.4293
1 78 2442.32758
1 79 1007.91121
1 80 862.97451
1 81 1219.59214
1 82 2186.07228
1 83 1715.55151
1 84 888.47397
1 85 1733.84111
1 86 1508.30037
1 87 1254.92828
1 88 1219.4466
1 89 806.48993
1 90 643.77015
1 91 752.97344
1 92 302.55247
1 93 412.97579
1 94 1358.84804
1 95 2431.13471
1 96 2376.68361
1 97 814.87729
1 98 782.65254
1 99 1468.25236
1 100 2643.49409
2 3 1708.46978
2 4 2402.81606
2 5 1185.95953
2 6 2056.61299
2 7 1391.80638
2 8 1619.84104
2 9 1342.50512
2 10 2441.83148
2 11 2358.83552
2 12 1606.4881
2 13 969.75151
2 14 1661.98496
2 15 2445.81316
2 16 2830.61495
2 17 2455.09592
2 18 2836.89126
2 19 2310.21601
2 20 1603.24172
2 21 2501.84252
2 22 2896.74749
2 23 1921.43332
2 24 2894.55558
2 25 893.07111
2 26 2670.97061
2 27 1737.33733
2 28 1363.36532
2 29 1500.96636
2 30 1190.74472
2 31 1592.38469
2 32 2165.91782
2 33 1069.31801
2 34 1451.47959
2 35 1893.08056
2 36 2857.56907
2 37 1143.12423
2 38 2917.2571
2 39 961.13787
2 40 336.50557
2 41 1984.45408
2 42 1536.06022
2 43 1834.54545
2 44 256.56383
2 45 2124.21397
2 46 1636.49778
2 47 1932.61714
2 48 1595.60647
2 49 2094.27338
2 50 416.12498
2 51 1146.96338
2 52 1302.29221
2 53 2577.25144
2 54 331.30349
2 55 1529.07979
2 56 1902.78979
2 57 1400.38887
2 58 1160.70065
2 59 2626.07388
2 60 1851.15667
2 61 1006.10636
2 62 1802.54265
2 63 1979.19807
2 64 331.71675
2 65 2526.65827
2 66 2618.48697
2 67 1102.74294
2 68 710.53853
2 69 573.26608
2 70 2887.44264
2 71 1901.8144
2 72 2458.64699
2 73 462.24344
2 74 2543.90664
2 75 2076.21218
2 76 1045.01722
2 77 1663.85967
2 78 1262.33316
2 79 2647.11239
2 80 1670.00479
2 81 842.63041
2 82 569.94123
2 83 1513.22503
2 84 2581.30064
2 85 832.31364
2 86 1752.0722
2 87 1218.50072
2 88 2806.4335
2 89 1419.50872
2 90 2301.79864
2 91 1978.32101
2 92 1769.46913
2 93 1399.74641
2 94 2963.13297
2 95 793.77138
2 96 1200.9413
2 97 2093.03607
2 98 1911.411
2 99 3155.99366
2 100 1830.80529
3 4 3332.92334
3 5 1073.736
3 6 2622.80613
3 7 811.32114
3 8 2501.89768
3 9 829.19057
3 10 2793.51034
3 11 2264.73001
3 12 782.46597
3 13 1532.65423
3 14 221.29844
3 15 2279.52736
3 16 3482.27655
3 17 2292.55338
3 18 3286.38479
3 19 3065.97537
3 20 934.01338
3 21 2582.16285
3 22 3551.54121
3 23 1703.46969
3 24 3245.7198
3 25 1183.94299
3 26 3716.83104
3 27 846.13238
3 28 1855.77639
3 29 214.02103
3 30 592.08445
3 31 2769.94874
3 32 2086.77862
3 33 1532.92205
3 34 448.41276
3 35 983.24615
3 36 3047.00016
3 37 1133.38167
3 38 3215.8837
3 39 850.56511
3 40 1730.96765
3 41 450.78709
3 42 2591.88156
3 43 171.02631
3 44 1452.25067
3 45 1895.67983
3 46 139.26234
3 47 2138.57382
3 48 507.05522
3 49 2669.80149
3 50 1292.65347
3 51 1137.94903
3 52 823.31039
3 53 3246.17806
3 54 1827.94338
3 55 567.1208
3 56 2916.61756
3 57 902.65608
3 58 1572.47226
3 59 2625.83796
3 60 1377.63057
3 61 1275.46737
3 62 1227.89291
3 63 2473.69885
3 64 1650.5287
3 65 3479.70186
3 66 3529.20118
3 67 1872.40621
3 68 1020.78499
3 69 1423.78123
3 70 3630.57709
3 71 401.00499
3 72 2640.37649
3 73 1287.39194
3 74 2582.74776
3 75 2870.33831
3 76 1615.06966
3 77 1333.01463
3 78 832.6632
3 79 3193.36077
3 80 2811.80814
3 81 1192.82061
3 82 1530.88863
3 83 552.95298
3 84 2913.17181
3 85 880.57084
3 86 926.7416
3 87 1001.0
3 88 3435.26214
3 89 2587.06977
3 90 2842.3828
3 91 1885.1061
3 92 2515.46298
3 93 1845.79874
3 94 3554.43385
3 95 1633.18217
3 96 826.46053
3 97 3018.37655
3 98 1786.23543
3 99 3314.91553
3 100 454.27855
4 5 3447.02553
4 6 822.12529
