70 2415
1 2 59.20304
1 3 73.17103
1 4 54.58938
1 5 33.12099
1 6 53.33854
1 7 64.28841
1 8 80.41144
1 9 80.5295
1 10 36.40055
1 11 60.40695
1 12 57.00877
1 13 14.56022
1 14 88.0
1 15 49.81967
1 16 8.60233
1 17 65.55151
1 18 56.14268
1 19 68.02941
1 20 95.02105
1 21 64.07027
1 22 25.94224
1 23 8.544
1 24 51.0392
1 25 105.3945
1 26 81.32035
1 27 93.40771
1 28 84.0119
1 29 14.14214
1 30 93.43447
1 31 19.69772
1 32 68.593
1 33 60.1415
1 34 64.63745
1 35 32.57299
1 36 4.24264
1 37 20.61553
1 38 18.60108
1 39 95.21029
1 40 89.55445
1 41 58.85576
1 42 60.00833
1 43 66.09841
1 44 78.91768
1 45 97.94386
1 46 99.00505
1 47 12.52996
1 48 65.74192
1 49 90.80198
1 50 30.4795
1 51 43.82921
1 52 41.86884
1 53 33.95585
1 54 67.80118
1 55 95.27329
1 56 52.80152
1 57 43.82921
1 58 21.26029
1 59 26.24881
1 60 50.20956
1 61 87.66413
1 62 77.98718
1 63 30.01666
1 64 55.14526
1 65 49.0408
1 66 30.67572
1 67 60.82763
1 68 78.64477
1 69 21.47091
1 70 20.09975
2 3 19.41649
2 4 8.544
2 5 42.52058
2 6 22.36068
2 7 5.09902
2 8 22.02272
2 9 52.49762
2 10 47.20169
2 11 81.84131
2 12 52.39275
2 13 53.03772
2 14 34.88553
2 15 23.43075
2 16 56.85948
2 17 40.1995
2 18 12.04159
2 19 13.0
2 20 42.04759
2 21 52.15362
2 22 34.23449
2 23 50.69517
2 24 19.84943
2 25 80.23092
2 26 22.13594
2 27 58.30952
2 28 26.1725
2 29 55.03635
2 30 43.82921
2 31 49.0408
2 32 13.0384
2 33 62.0967
2 34 53.15073
2 35 49.33559
2 36 61.39218
2 37 54.40588
2 38 42.29657
2 39 74.72617
2 40 63.56886
2 41 26.01922
2 42 17.26268
2 43 36.49658
2 44 35.0
2 45 72.8011
2 46 64.66065
2 47 50.9902
2 48 80.05623
2 49 31.62278
2 50 53.75872
2 51 66.28725
2 52 49.73932
2 53 33.94113
2 54 71.80529
2 55 36.71512
2 56 72.94518
2 57 22.84732
2 58 53.60037
2 59 37.01351
2 60 55.15433
2 61 65.25335
2 62 75.23962
2 63 31.01612
2 64 93.60556
2 65 76.27582
2 66 28.63564
2 67 75.76939
2 68 37.73592
2 69 47.09565
2 70 55.14526
3 4 19.23538
3 5 48.75449
3 6 22.82542
3 7 16.27882
3 8 11.6619
3 9 39.0
3 10 51.62364
3 11 81.56592
3 12 48.82622
3 13 69.58448
3 14 15.81139
3 15 42.80187
3 16 69.05071
3 17 31.38471
3 18 17.02939
3 19 25.4951
3 20 23.08679
3 21 45.61798
3 22 50.48762
3 23 65.03076
3 24 39.20459
3 25 64.7611
3 26 18.68154
3 27 41.4367
3 28 12.80625
3 29 71.56815
3 30 24.41311
3 31 66.28725
3 32 6.40312
3 33 58.5235
3 34 46.51881
3 35 68.15424
3 36 76.02631
3 37 63.56886
3 38 58.30952
3 39 61.13101
3 40 49.25444
3 41 21.2132
3 42 14.31782
3 43 26.92582
3 44 17.72005
3 45 57.87055
3 46 47.53946
3 47 62.96825
3 48 77.66595
3 49 25.23886
3 50 59.94164
3 51 68.88396
3 52 52.00961
3 53 42.05948
3 54 67.1193
3 55 33.12099
3 56 73.5527
3 57 42.05948
3 58 62.62587
3 59 54.34151
3 60 54.48853
3 61 52.00961
3 62 67.6757
3 63 48.05206
3 64 97.6166
3 65 78.64477
3 66 44.28318
3 67 74.20243
3 68 21.37756
3 69 64.53681
3 70 72.56721
4 5 34.65545
4 6 14.03567
4 7 12.04159
4 8 25.96151
4 9 46.09772
4 10 39.05125
4 11 73.3553
4 12 43.93177
4 13 50.35871
4 14 34.9285
4 15 27.45906
4 16 51.24451
4 17 32.75668
4 18 4.47214
4 19 21.54066
4 20 42.2019
4 21 44.01136
4 22 31.257
4 23 46.27094
4 24 24.18677
4 25 74.24284
4 26 28.30194
4 27 53.41348
4 28 29.42788
4 29 52.34501
4 30 42.54409
4 31 47.07441
4 32 14.03567
4 33 53.60037
4 34 45.01111
4 35 49.64877
4 36 57.21888
4 37 47.50789
4 38 39.11521
4 39 68.00735
4 40 57.27128
4 41 18.43909
4 42 10.81665
4 43 29.41088
4 44 31.241
4 45 66.64083
4 46 59.81639
4 47 45.22168
4 48 71.51224
4 49 37.58989
4 50 46.01087
4 51 58.00862
4 52 41.34005
4 53 26.40076
4 54 63.34824
4 55 43.60046
4 56 64.49806
4 57 24.75884
4 58 46.64762
4 59 35.17101
4 60 46.61545
4 61 58.5235
4 62 67.06713
4 63 28.86174
4 64 85.63294
4 65 68.00735
4 66 25.07987
4 67 67.23095
4 68 33.24154
4 69 45.35416
4 70 53.36666
5 6 26.0
5 7 46.66905
5 8 58.83026
5 9 47.53946
5 10 6.0
5 11 41.97618
5 12 24.83948
5 13 39.05125
5 14 61.13101
5 15 48.05206
5 16 25.63201
5 17 32.98485
5 18 33.6006
5 19 55.0
5 20 67.46851
5 21 31.241
5 22 28.63564
5 23 28.3196
5 24 46.84015
5 25 72.42237
5 26 62.62587
5 27 60.72891
5 28 61.29437
5 29 40.36087
5 30 64.38167
5 31 39.96248
5 32 46.32494
5 33 30.46309
5 34 31.89044
5 35 50.69517
5 36 37.21559
5 37 16.0
5 38 30.41381
5 39 62.482
5 40 56.4358
5 41 29.61419
5 42 34.43835
5 43 34.23449
5 44 49.16299
5 45 64.89992
5 46 66.12866
5 47 20.59126
5 48 43.0
5 49 71.61006
5 50 11.40175
5 51 24.69818
5 52 11.40175
5 53 8.94427
5 54 39.84972
5 55 78.1025
5 56 32.75668
5 57 41.59327
5 58 15.0
5 59 34.20526
5 60 20.24846
5 61 54.6443
5 62 48.30114
5 63 31.14482
5 64 51.08816
5 65 34.43835
5 66 26.0
5 67 38.01316
5 68 48.0
5 69 39.82462
5 70 45.0
6 7 24.69818
6 8 33.42155
6 9 34.4093
6 10 28.84441
6 11 60.74537
6 12 30.08322
6 13 52.92447
6 14 35.51056
6 15 39.56008
6 16 48.01042
6 17 19.69772
6 18 10.44031
6 19 35.17101
6 20 42.19005
6 21 30.0
6 22 34.98571
6 23 45.89118
6 24 36.68787
6 25 62.68174
6 26 38.28838
6 27 44.04543
6 28 35.51056
6 29 54.78138
6 30 40.11234
6 31 51.0
6 32 21.2132
6 33 39.84972
6 34 31.0
6 35 56.72742
6 36 56.7186
6 37 41.23106
6 38 41.62932
6 39 55.4617
6 40 45.48626
6 41 6.40312
6 42 8.60233
6 43 17.20465
6 44 25.70992
6 45 54.91812
6 46 50.32892
6 47 42.0
6 48 58.18075
6 49 46.69047
6 50 37.12142
6 51 46.66905
6 52 29.69848
6 53 20.09975
6 54 49.47727
6 55 53.8145
6 56 52.20153
6 57 35.35534
6 58 40.26164
6 59 40.22437
6 60 33.61547
6 61 46.06517
6 62 53.03772
6 63 34.20526
6 64 75.16648
6 65 56.58622
6 66 28.84441
6 67 54.12024
6 68 26.0
6 69 49.73932
6 70 57.24509
7 8 17.11724
7 9 52.17279
7 10 51.08816
7 11 85.08819
7 12 54.70832
7 13 58.07753
7 14 31.06445
7 15 26.92582
7 16 61.84658
7 17 41.01219
7 18 14.31782
7 19 11.0
7 20 38.07887
7 21 53.75872
7 22 39.31921
7 23 55.7853
7 24 23.32381
7 25 79.37884
7 26 17.08801
7 27 56.79789
7 28 21.37756
7 29 60.07495
7 30 40.45986
7 31 54.00926
7 32 10.0
7 33 64.51356
7 34 54.74486
7 35 53.85165
7 36 66.4906
7 37 59.07622
7 38 47.38143
7 39 74.52516
7 40 63.06346
7 41 27.29469
7 42 18.11077
7 43 37.01351
7 44 33.12099
7 45 72.12489
7 46 63.06346
7 47 55.9464
7 48 82.8553
7 49 26.57066
7 50 58.0
7 51 70.0
7 52 53.25411
7 53 38.28838
7 54 74.04053
7 55 31.90611
7 56 76.32169
7 57 27.20294
7 58 58.24946
7 59 42.0
7 60 58.13777
7 61 65.11528
7 62 76.79193
7 63 36.05551
7 64 97.67292
7 65 80.0
7 66 33.73426
7 67 78.72103
7 68 36.24914
7 69 52.03845
7 70 60.07495
8 9 49.36598
8 10 62.20129
8 11 93.08598
8 12 60.46487
8 13 75.00667
8 14 17.49286
8 15 43.08132
8 16 77.20104
8 17 42.95346
8 18 25.4951
8 19 21.40093
8 20 23.34524
8 21 57.24509
8 22 56.0803
8 23 72.00694
8 24 39.56008
8 25 73.5527
8 26 8.06226
8 27 49.64877
8 28 4.47214
8 29 77.00649
8 30 27.78489
8 31 71.06335
8 32 12.52996
8 33 70.17834
8 34 58.13777
8 35 70.83078
8 36 82.8734
8 37 72.91776
8 38 64.12488
8 39 71.02816
8 40 59.00847
8 41 32.64966
8 42 24.83948
8 43 38.48376
8 44 27.01851
8 45 67.1193
8 46 55.31727
8 47 71.16881
8 48 89.30845
8 49 13.60147
8 50 70.17834
8 51 79.98125
8 52 63.03174
8 53 51.42956
8 54 78.77182
8 55 21.47091
8 56 84.95881
8 57 44.14748
8 58 72.01389
8 59 59.03389
8 60 65.94695
8 61 62.20129
8 62 79.12016
8 63 53.0
8 64 108.57716
8 65 89.82761
8 66 50.24938
8 67 85.8021
8 68 31.06445
8 69 69.11584
8 70 77.16217
9 10 45.60702
9 11 57.77543
9 12 28.01785
9 13 84.05355
9 14 37.16181
9 15 73.3553
9 16 73.1642
9 17 15.6205
9 18 41.62932
9 19 62.96825
9 20 38.83298
9 21 20.09975
9 22 67.94115
9 23 74.79305
9 24 70.21396
9 25 28.30194
9 26 57.21888
9 27 14.0
9 28 48.05206
9 29 85.70298
9 30 32.01562
9 31 83.24062
9 32 43.28972
9 33 33.52611
9 34 20.22375
9 35 90.52072
9 36 84.5281
9 37 62.64184
9 38 73.40981
9 39 22.36068
9 40 11.18034
9 41 28.30194
9 42 35.4683
9 43 17.20465
9 44 22.56103
9 45 20.59126
9 46 18.68154
9 47 68.02941
9 48 50.60632
9 49 61.61169
9 50 54.12947
9 51 53.23533
9 52 41.59327
9 53 47.70744
9 54 37.73592
9 55 69.857
9 56 52.88667
9 57 69.64194
9 58 61.68468
9 59 73.5527
9 60 37.01351
9 61 13.0384
9 62 33.30165
9 63 67.89698
9 64 79.81228
9 65 60.41523
9 66 62.2254
9 67 49.24429
9 68 18.43909
9 69 82.32861
9 70 89.20202
10 11 36.13862
10 12 20.61553
10 13 43.82921
10 14 62.96825
10 15 53.93515
10 16 28.30194
10 17 32.06244
10 18 37.48333
10 19 59.90826
10 20 68.96376
10 21 27.78489
10 22 34.52535
10 23 32.64966
10 24 52.63079
10 25 69.11584
10 26 66.52819
10 27 59.22837
10 28 64.3506
10 29 45.0
10 30 65.30697
10 31 45.17743
10 32 49.81967
10 33 25.05993
10 34 28.30194
10 35 56.30275
10 36 40.60788
10 37 17.08801
10 38 35.8469
