dataset,instancia,n,W,archivo
berlin-maxiter,berlin52,10000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,20000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,30000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,40000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,50000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,60000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,70000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,80000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,90000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,100000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,110000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,120000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,130000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,140000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,150000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,160000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,170000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,180000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,190000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,200000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,210000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,220000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,230000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,240000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,250000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,260000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,270000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,280000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,290000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,300000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,310000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,320000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,330000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,340000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,350000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,360000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,370000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,380000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,390000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,400000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,410000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,420000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,430000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,440000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,450000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,460000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,470000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,480000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,490000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,500000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,510000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,520000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,530000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,540000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,550000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,560000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,570000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,580000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,590000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,600000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,610000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,620000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,630000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,640000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,650000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,660000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,670000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,680000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,690000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,700000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,710000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,720000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,730000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,740000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,750000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,760000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,770000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,780000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,790000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,800000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,810000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,820000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,830000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,840000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,850000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,860000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,870000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,880000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,890000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,900000,0,instancias/berlin-parametros/berlin52.txt
