76 2850
1 2 14.56022
1 3 23.02173
1 4 26.41969
1 5 33.06055
1 6 16.27882
1 7 39.59798
1 8 40.22437
1 9 37.21559
1 10 47.53946
1 11 54.20332
1 12 31.7805
1 13 42.05948
1 14 53.15073
1 15 40.04997
1 16 14.03567
1 17 24.59675
1 18 36.40055
1 19 47.70744
1 20 44.72136
1 21 23.76973
1 22 9.84886
1 23 12.52996
1 24 25.80698
1 25 42.29657
1 26 30.61046
1 27 35.1141
1 28 14.31782
1 29 30.26549
1 30 21.37756
1 31 54.74486
1 32 31.0
1 33 8.06226
1 34 33.28663
1 35 43.27817
1 36 34.17601
1 37 38.63936
1 38 50.60632
1 39 38.83298
1 40 29.12044
1 41 11.18034
1 42 10.63015
1 43 6.7082
1 44 26.01922
1 45 29.12044
1 46 35.22783
1 47 28.86174
1 48 26.01922
1 49 18.86796
1 50 34.71311
1 51 18.38478
1 52 35.77709
1 53 48.10405
1 54 48.8467
1 55 49.47727
1 56 16.27882
1 57 43.28972
1 58 42.04759
1 59 63.78087
1 60 45.69464
1 61 21.26029
1 62 8.24621
1 63 8.24621
1 64 18.38478
1 65 55.56978
1 66 61.03278
1 67 30.4795
1 68 19.41649
1 69 33.28663
1 70 46.17359
1 71 40.71855
1 72 40.16217
1 73 5.38516
1 74 18.11077
1 75 23.43075
1 76 25.45584
2 3 24.20744
2 4 12.72792
2 5 19.92486
2 6 8.544
2 7 27.78489
2 8 26.87006
2 9 34.48188
2 10 40.1995
2 11 43.38202
2 12 25.01999
2 13 27.51363
2 14 40.45986
2 15 26.07681
2 16 18.02776
2 17 18.24829
2 18 40.36087
2 19 34.05877
2 20 32.31099
2 21 15.26434
2 22 16.40122
2 23 25.07987
2 24 33.61547
2 25 42.48529
2 26 20.61553
2 27 20.61553
2 28 10.04988
2 29 16.0
2 30 7.0
2 31 50.24938
2 32 30.41381
2 33 10.44031
2 34 19.79899
2 35 30.61046
2 36 24.08319
2 37 26.40076
2 38 41.48494
2 39 34.52535
2 40 24.73863
2 41 25.63201
2 42 24.18677
2 43 21.18962
2 44 26.62705
2 45 14.56022
2 46 21.93171
2 47 17.80449
2 48 13.0
2 49 26.83282
2 50 36.61967
2 51 14.76482
2 52 21.63331
2 53 36.35932
2 54 34.43835
2 55 51.10773
2 56 30.01666
2 57 29.01724
2 58 34.23449
2 59 50.9902
2 60 35.60899
2 61 20.0
2 62 8.48528
2 63 16.49242
2 64 29.69848
2 65 46.17359
2 66 50.56679
2 67 18.35756
2 68 7.28011
2 69 26.07681
2 70 34.98571
2 71 31.14482
2 72 34.0147
2 73 9.21954
2 74 7.2111
2 75 11.7047
2 76 14.56022
3 4 26.0
3 5 42.2019
3 6 16.27882
3 7 29.42788
3 8 34.0
3 9 14.86607
3 10 28.3196
3 11 39.44617
3 12 15.23155
3 13 42.2019
3 14 42.72002
3 15 46.06517
3 16 9.0
3 17 12.04159
3 18 16.27882
3 19 41.10961
3 20 54.6443
3 21 39.40812
3 22 32.38827
3 23 19.72308
3 24 14.14214
3 25 19.41649
3 26 20.02498
3 27 35.73514
3 28 32.20248
3 29 36.35932
3 30 29.06888
3 31 32.57299
3 32 8.06226
3 33 16.76305
3 34 29.42788
3 35 34.36568
3 36 48.10405
3 37 49.20366
3 38 33.42155
3 39 17.49286
3 40 10.29563
3 41 29.41088
3 42 31.57531
3 43 26.4764
3 44 3.0
3 45 32.64966
3 46 30.14963
3 47 41.72529
3 48 36.12478
3 49 11.40175
3 50 12.52996
3 51 10.0
3 52 33.73426
3 53 36.05551
3 54 46.17359
3 55 27.313
3 56 25.0
3 57 47.53946
3 58 24.20744
3 59 52.55473
3 60 59.4138
3 61 41.78516
3 62 26.57066
3 63 15.0333
3 64 40.4475
3 65 38.28838
3 66 45.0
3 67 24.18677
3 68 20.80865
3 69 50.21952
3 70 58.25805
3 71 55.17246
3 72 20.51828
3 73 21.84033
3 74 31.40064
3 75 20.61553
3 76 19.64688
4 5 18.02776
4 6 12.04159
4 7 15.81139
4 8 14.14214
4 9 30.61046
4 10 31.40064
4 11 31.62278
4 12 18.86796
4 13 17.0
4 14 27.80288
4 15 20.24846
4 16 24.02082
4 17 15.0
4 18 41.67733
4 19 21.40093
4 20 29.69848
4 21 22.02272
4 22 29.06888
4 23 34.71311
4 24 38.83298
4 25 40.31129
4 26 11.7047
4 27 10.04988
4 28 21.47091
4 29 11.40175
4 30 9.21954
4 31 43.32436
4 32 29.20616
4 33 19.92486
4 34 7.07107
4 35 18.02776
4 36 26.57066
4 37 25.0
4 38 31.06445
4 39 29.15476
4 40 21.2132
4 41 37.58989
4 42 36.61967
4 43 33.12099
4 44 27.29469
4 45 7.07107
4 46 9.21954
4 47 20.61553
4 48 14.31782
4 49 33.13608
4 50 36.61967
4 51 16.49242
4 52 9.48683
4 53 24.16609
4 54 22.80351
4 55 49.49747
4 56 40.26164
4 57 21.54066
4 58 25.4951
4 59 38.28838
4 60 36.35932
4 61 30.36445
4 62 21.2132
4 63 25.4951
4 64 42.42641
4 65 35.35534
4 66 38.8973
4 67 7.0
4 68 7.28011
4 69 31.40064
4 70 34.20526
4 71 33.10589
4 72 26.92582
4 73 21.09502
4 74 15.81139
4 75 5.38516
4 76 7.07107
5 6 26.07681
5 7 30.41381
5 8 25.0
5 9 48.60041
5 10 48.38388
5 11 45.0
5 12 36.89173
5 13 16.55295
5 14 37.65634
5 15 8.06226
5 16 37.57659
5 17 32.55764
5 18 58.41233
5 19 28.86174
5 20 12.52996
5 21 13.0384
5 22 29.83287
5 23 44.72136
5 24 53.22593
5 25 58.13777
5 26 29.52965
5 27 14.0
5 28 20.39608
5 29 6.7082
5 30 13.41641
5 31 60.92618
5 32 46.66905
5 33 30.36445
5 34 20.61553
5 35 30.0
5 36 10.04988
5 37 7.07107
5 38 46.69047
5 39 47.16991
5 40 39.05125
5 41 43.10452
5 42 40.4475
5 43 39.01282
5 44 44.04543
5 45 11.18034
5 46 22.36068
5 47 7.07107
5 48 7.07107
5 49 46.61545
5 50 53.8145
5 51 32.20248
5 52 18.02776
5 53 37.0
5 54 24.18677
5 55 67.26812
5 56 49.25444
5 57 12.20656
5 58 42.72002
5 59 46.48656
5 60 18.35756
5 61 23.60085
5 62 25.0
5 63 36.40055
5 64 42.72002
5 65 50.24938
5 66 52.03845
5 67 24.16609
5 68 21.40093
5 69 16.76305
5 70 16.27882
5 71 15.52417
5 72 44.72136
5 73 28.28427
5 74 15.0
5 75 22.67157
5 76 25.0
6 7 23.34524
6 8 24.59675
6 9 25.96151
6 10 32.75668
6 11 38.01316
6 12 17.11724
6 13 29.01724
6 14 37.01351
6 15 30.67572
6 16 12.16553
6 17 10.0
6 18 32.55764
6 19 32.20248
6 20 38.58756
6 21 23.70654
6 22 22.13594
6 23 22.80351
6 24 27.51363
6 25 34.0
6 26 14.42221
6 27 22.0
6 28 18.11077
6 29 20.61553
6 30 12.80625
6 31 42.04759
6 32 21.9545
6 33 8.60233
6 34 18.02776
6 35 27.20294
6 36 31.89044
6 37 33.01515
6 38 34.9285
6 39 26.1725
6 40 16.27882
6 41 27.01851
6 42 26.90725
6 43 22.67157
6 44 18.43909
6 45 17.46425
6 46 19.69772
6 47 25.4951
6 48 19.84943
6 49 21.37756
6 50 28.42534
6 51 6.40312
6 52 21.37756
6 53 31.82766
6 54 34.71311
6 55 42.72002
6 56 28.4605
6 57 32.75668
6 58 26.92582
6 59 47.63402
6 60 43.13931
6 61 28.16026
6 62 14.31782
6 63 13.60147
6 64 34.1321
6 65 39.81206
6 66 44.94441
6 67 14.42221
6 68 5.09902
6 69 34.48188
6 70 42.0119
6 71 38.94868
6 72 26.07681
6 73 11.6619
