dataset,n,W,metodo,tiempo
completos-random,5,10.0,H1,0.009534
completos-random,5,10.0,H2,0.030598
completos-random,5,10.0,HAGM,0.005188
completos-random,5,10.0,METAH1,11.4532
completos-random,5,10.0,METAH2,31.367
completos-random,6,15.0,H1,0.00518
completos-random,6,15.0,H2,0.013584
completos-random,6,15.0,HAGM,0.006836
completos-random,6,15.0,METAH1,17.0319
completos-random,6,15.0,METAH2,25.7705
completos-random,7,21.0,H1,0.004583
completos-random,7,21.0,H2,0.013798
completos-random,7,21.0,HAGM,0.007713
completos-random,7,21.0,METAH1,21.1437
completos-random,7,21.0,METAH2,25.1201
completos-random,8,28.0,H1,0.003547
completos-random,8,28.0,H2,0.011455
completos-random,8,28.0,HAGM,0.005413
completos-random,8,28.0,METAH1,22.0733
completos-random,8,28.0,METAH2,33.1039
completos-random,9,36.0,H1,0.003652
completos-random,9,36.0,H2,0.014709
completos-random,9,36.0,HAGM,0.006248
completos-random,9,36.0,METAH1,27.2734
completos-random,9,36.0,METAH2,44.5884
completos-random,10,45.0,H1,0.004362
completos-random,10,45.0,H2,0.016487
completos-random,10,45.0,HAGM,0.006504
completos-random,10,45.0,METAH1,39.6208
completos-random,10,45.0,METAH2,59.0371
completos-random,11,55.0,H1,0.004595
completos-random,11,55.0,H2,0.018529
completos-random,11,55.0,HAGM,0.008136
completos-random,11,55.0,METAH1,48.3815
completos-random,11,55.0,METAH2,84.4925
completos-random,12,66.0,H1,0.00474
completos-random,12,66.0,H2,0.024394
completos-random,12,66.0,HAGM,0.008103
completos-random,12,66.0,METAH1,56.8696
completos-random,12,66.0,METAH2,90.3601
completos-random,13,78.0,H1,0.006671
completos-random,13,78.0,H2,0.034746
completos-random,13,78.0,HAGM,0.008627
completos-random,13,78.0,METAH1,68.4503
completos-random,13,78.0,METAH2,105.603
completos-random,14,91.0,H1,0.005495
completos-random,14,91.0,H2,0.027453
completos-random,14,91.0,HAGM,0.009135
completos-random,14,91.0,METAH1,79.3986
completos-random,14,91.0,METAH2,122.726
completos-random,15,105.0,H1,0.006072
completos-random,15,105.0,H2,0.028655
completos-random,15,105.0,HAGM,0.009038
completos-random,15,105.0,METAH1,92.6189
completos-random,15,105.0,METAH2,146.52
completos-random,16,120.0,H1,0.005488
completos-random,16,120.0,H2,0.032977
completos-random,16,120.0,HAGM,0.010316
completos-random,16,120.0,METAH1,114.345
completos-random,16,120.0,METAH2,174.495
completos-random,17,136.0,H1,0.005815
completos-random,17,136.0,H2,0.034335
completos-random,17,136.0,HAGM,0.01062
completos-random,17,136.0,METAH1,123.48
completos-random,17,136.0,METAH2,198.527
completos-random,18,153.0,H1,0.006396
completos-random,18,153.0,H2,0.034933
completos-random,18,153.0,HAGM,0.011241
completos-random,18,153.0,METAH1,170.405
completos-random,18,153.0,METAH2,230.852
completos-random,19,171.0,H1,0.006824
completos-random,19,171.0,H2,0.039345
completos-random,19,171.0,HAGM,0.013023
completos-random,19,171.0,METAH1,198.759
completos-random,19,171.0,METAH2,264.08
completos-random,20,190.0,H1,0.006837
completos-random,20,190.0,H2,0.038544
completos-random,20,190.0,HAGM,0.012784
completos-random,20,190.0,METAH1,228.733
completos-random,20,190.0,METAH2,295.924
completos-random,21,210.0,H1,0.006851
completos-random,21,210.0,H2,0.041666
completos-random,21,210.0,HAGM,0.013677
completos-random,21,210.0,METAH1,250.987
completos-random,21,210.0,METAH2,353.5
completos-random,22,231.0,H1,0.008277
completos-random,22,231.0,H2,0.051053
completos-random,22,231.0,HAGM,0.015969
completos-random,22,231.0,METAH1,304.528
completos-random,22,231.0,METAH2,382.719
completos-random,23,253.0,H1,0.007731
completos-random,23,253.0,H2,0.050791
completos-random,23,253.0,HAGM,0.015414
completos-random,23,253.0,METAH1,309.683
completos-random,23,253.0,METAH2,408.066
completos-random,24,276.0,H1,0.007296
completos-random,24,276.0,H2,0.04798
completos-random,24,276.0,HAGM,0.017028
completos-random,24,276.0,METAH1,348.569
completos-random,24,276.0,METAH2,460.917
completos-random,25,300.0,H1,0.008306
completos-random,25,300.0,H2,0.051598
completos-random,25,300.0,HAGM,0.016763
completos-random,25,300.0,METAH1,407.853
completos-random,25,300.0,METAH2,525.898
completos-random,26,325.0,H1,0.008745
completos-random,26,325.0,H2,0.064627
completos-random,26,325.0,HAGM,0.017459
completos-random,26,325.0,METAH1,458.421
completos-random,26,325.0,METAH2,595.381
completos-random,27,351.0,H1,0.009096
completos-random,27,351.0,H2,0.06256
completos-random,27,351.0,HAGM,0.022783
completos-random,27,351.0,METAH1,502.617
completos-random,27,351.0,METAH2,629.034
completos-random,28,378.0,H1,0.009946
completos-random,28,378.0,H2,0.066554
completos-random,28,378.0,HAGM,0.019037
completos-random,28,378.0,METAH1,560.404
completos-random,28,378.0,METAH2,672.19
completos-random,29,406.0,H1,0.023142
completos-random,29,406.0,H2,0.161376
completos-random,29,406.0,HAGM,0.042426
completos-random,29,406.0,METAH1,589.786
completos-random,29,406.0,METAH2,737.06
completos-random,30,435.0,H1,0.010133
completos-random,30,435.0,H2,0.078692
completos-random,30,435.0,HAGM,0.026879
completos-random,30,435.0,METAH1,652.432
completos-random,30,435.0,METAH2,786.363
completos-random,31,465.0,H1,0.010321
completos-random,31,465.0,H2,0.092181
completos-random,31,465.0,HAGM,0.021495
