dataset,n,W,metodo,optimo,tiempo,instancia
maxiter,10000.0,7542,METAH1,7922.86,2828.52,berlin52
maxiter,10000.0,7542,METAH2,7687.96,3147.99,berlin52
maxiter,10000.0,426,METAH1,448.266,2403.14,eil51
maxiter,10000.0,426,METAH2,448.935,2720.09,eil51
maxiter,10000.0,538,METAH1,589.668,6389.14,eil76
maxiter,10000.0,538,METAH2,589.483,7334.34,eil76
maxiter,10000.0,675,METAH1,720.688,5130.73,st70
maxiter,10000.0,675,METAH2,699.417,5772.2,st70
maxiter,10000.0,21282,METAH1,22112.7,13074.7,kroA100
maxiter,10000.0,21282,METAH2,22662.8,14562.0,kroA100
maxiter,20000.0,7542,METAH1,7942.12,2524.21,berlin52
maxiter,20000.0,7542,METAH2,8131.73,2842.02,berlin52
maxiter,20000.0,426,METAH1,448.943,2373.86,eil51
maxiter,20000.0,426,METAH2,449.953,2718.9,eil51
maxiter,20000.0,538,METAH1,580.754,6394.29,eil76
maxiter,20000.0,538,METAH2,589.9,7341.0,eil76
maxiter,20000.0,675,METAH1,715.767,5132.65,st70
maxiter,20000.0,675,METAH2,704.162,5819.61,st70
maxiter,20000.0,21282,METAH1,22294.8,13254.1,kroA100
maxiter,20000.0,21282,METAH2,22035.9,14642.2,kroA100
maxiter,30000.0,7542,METAH1,8128.48,2484.12,berlin52
maxiter,30000.0,7542,METAH2,7814.22,2853.57,berlin52
maxiter,30000.0,426,METAH1,460.158,2369.58,eil51
maxiter,30000.0,426,METAH2,449.756,2744.55,eil51
maxiter,30000.0,538,METAH1,588.345,6376.77,eil76
maxiter,30000.0,538,METAH2,590.37,7217.74,eil76
maxiter,30000.0,675,METAH1,726.922,5148.81,st70
maxiter,30000.0,675,METAH2,725.362,5847.5,st70
maxiter,30000.0,21282,METAH1,22223.7,13134.6,kroA100
maxiter,30000.0,21282,METAH2,23375.5,14700.3,kroA100
maxiter,40000.0,7542,METAH1,8065.83,2496.89,berlin52
maxiter,40000.0,7542,METAH2,8240.36,2827.0,berlin52
maxiter,40000.0,426,METAH1,444.976,2391.15,eil51
maxiter,40000.0,426,METAH2,453.227,2739.08,eil51
maxiter,40000.0,538,METAH1,584.566,6394.48,eil76
maxiter,40000.0,538,METAH2,578.575,7243.98,eil76
maxiter,40000.0,675,METAH1,748.53,5130.0,st70
maxiter,40000.0,675,METAH2,699.597,5894.98,st70
maxiter,40000.0,21282,METAH1,22842.8,13172.0,kroA100
maxiter,40000.0,21282,METAH2,23028.2,14713.6,kroA100
maxiter,50000.0,7542,METAH1,8292.46,2506.39,berlin52
maxiter,50000.0,7542,METAH2,8216.16,2873.55,berlin52
maxiter,50000.0,426,METAH1,457.379,2363.69,eil51
maxiter,50000.0,426,METAH2,448.092,2741.33,eil51
maxiter,50000.0,538,METAH1,582.481,6447.34,eil76
maxiter,50000.0,538,METAH2,569.944,7273.47,eil76
maxiter,50000.0,675,METAH1,709.605,5120.41,st70
maxiter,50000.0,675,METAH2,696.647,5855.63,st70
maxiter,50000.0,21282,METAH1,22231.8,13167.9,kroA100
maxiter,50000.0,21282,METAH2,22464.0,14611.4,kroA100
maxiter,60000.0,7542,METAH1,7789.37,2472.3,berlin52
maxiter,60000.0,7542,METAH2,8200.43,2770.67,berlin52
maxiter,60000.0,426,METAH1,443.87,2376.78,eil51
maxiter,60000.0,426,METAH2,440.822,2727.84,eil51
maxiter,60000.0,538,METAH1,586.82,6527.5,eil76
maxiter,60000.0,538,METAH2,602.759,7236.88,eil76
maxiter,60000.0,675,METAH1,718.275,5138.53,st70
maxiter,60000.0,675,METAH2,700.154,5835.55,st70
maxiter,60000.0,21282,METAH1,21938.3,13120.3,kroA100
maxiter,60000.0,21282,METAH2,23528.3,14641.8,kroA100
maxiter,70000.0,7542,METAH1,8156.61,2486.32,berlin52
maxiter,70000.0,7542,METAH2,8476.05,2898.55,berlin52
maxiter,70000.0,426,METAH1,450.652,2378.5,eil51
maxiter,70000.0,426,METAH2,453.226,2700.29,eil51
maxiter,70000.0,538,METAH1,576.693,6367.0,eil76
maxiter,70000.0,538,METAH2,587.894,7204.45,eil76
maxiter,70000.0,675,METAH1,731.784,5169.55,st70
maxiter,70000.0,675,METAH2,731.137,5818.44,st70
maxiter,70000.0,21282,METAH1,22039.9,13182.2,kroA100
maxiter,70000.0,21282,METAH2,23260.6,14686.0,kroA100
maxiter,80000.0,7542,METAH1,8065.7,2463.97,berlin52
maxiter,80000.0,7542,METAH2,8056.12,2839.77,berlin52
maxiter,80000.0,426,METAH1,461.553,2335.07,eil51
maxiter,80000.0,426,METAH2,461.018,2731.97,eil51
maxiter,80000.0,538,METAH1,588.17,6382.54,eil76
maxiter,80000.0,538,METAH2,577.321,7339.2,eil76
maxiter,80000.0,675,METAH1,751.55,5072.89,st70
maxiter,80000.0,675,METAH2,705.663,5785.72,st70
